GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
05015009501,05,015,009501,2404,2311,0,31,57,5,0,1939,1875,0,18,42,4,0,85.79,152.32,22240,90708,05970,3,3
05015009502,05,015,009502,3040,2991,1,24,17,7,0,2491,2454,1,17,15,4,0,110.21,195.68,4540,90195,05970,3,3
05015009503,05,015,009503,4400,4283,0,59,33,24,1,3304,3230,0,31,27,15,1,330,423,5560,92982,03150,3,3
05015009504,05,015,009504,3233,3196,0,17,17,3,0,2344,2316,0,12,13,3,0,62,109,7150,92271,06870,3,3
05015009505,05,015,009505,5577,5480,3,63,16,15,0,4055,3995,0,36,14,10,0,33,28,28600,91692,06870,3,3
05017009801,05,017,009801,3465,2598,772,80,7,8,0,2510,1945,504,50,5,6,0,543.11,328.99,18520,90666,08640,1,4
05017009802,05,017,009802,4883,1319,3510,34,3,16,1,3208,1019,2155,18,3,12,1,880.45,415.74,18520,90432,05170,1,4
05017009803,05,017,009803,3575,1720,1795,26,8,26,0,2472,1296,1134,17,5,20,0,534.89,324.01,38170,90666,08640,1,4
05017009804,05,017,009804,3785,1024,2734,19,4,4,0,2435,797,1618,13,3,4,0,1000,419,22180,92913,00007,1,4
05017980598,05,017,980598,5,5,0,0,0,0,0,2,2,0,0,0,0,0,0.55,0.26,NA,90432,05170,1,4
05019009536,05,019,009536,7609,6005,1483,54,15,45,7,6347,5166,1099,34,14,32,2,1582.18,879.16,1870,90591,02430,1,4
05019009537,05,019,009537,3604,3145,432,13,8,6,0,2773,2429,328,6,5,5,0,691.25,384.1,1360,93594,02400,1,4
05019009538,05,019,009538,4350,2963,1317,33,14,15,8,3203,2304,860,18,11,8,2,798.44,443.66,1870,90591,02430,1,4
05019009539,05,019,009539,5874,4154,1666,27,17,10,0,4325,3147,1139,20,12,7,0,1078.13,599.08,29200,92517,07110,1,4
05021009501,05,021,009501,2349,2326,0,14,8,1,0,1806,1789,0,8,8,1,0,353.21,248.92,61970,92202,11370,2,1
05021009502,05,021,009502,2602,2585,0,6,11,0,0,1958,1945,0,6,7,0,0,34,33,56600,90231,04370,2,1
05021009503,05,021,009503,2865,2845,0,13,4,3,0,2174,2161,0,9,3,1,0,278.27,210.73,37240,90573,00009,2,1
05021009504,05,021,009504,3854,3823,1,9,14,7,0,2912,2890,1,8,9,4,0,372.73,282.27,15460,92040,00009,2,1
05021009505,05,021,009505,2454,2438,1,7,5,3,0,1920,1908,1,4,5,2,0,535,328,58490,92730,04370,2,1
05021009506,05,021,009506,3983,3959,3,21,0,0,0,3164,3150,0,14,0,0,0,618.79,436.08,55130,93267,11370,2,1
05023009801,05,023,009801,3430,3396,2,25,7,0,0,2544,2519,2,17,6,0,0,51,64,15100,91494,07590,2,1
05023009802,05,023,009802,3822,3784,0,10,16,12,0,3077,3049,0,6,15,7,0,319,329,28810,91458,14040,2,1
05023009803,05,023,009803,4338,4284,1,41,11,1,0,3435,3408,1,21,4,1,0,751.03,817.36,31090,91656,07560,2,1
05023009804,05,023,009804,3164,3129,1,14,12,8,0,2520,2500,1,6,10,3,0,550.97,599.64,31090,91656,07560,2,1
