GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school,cd_1980,cd_1990
24005004008,24,005,004008,2755,31,1749,31,943,6,21,2234,19,1425,19,754,6,11,499.42,429.5,14125,90012,00120,6,1
24005004009,24,005,004009,1850,14,1017,14,802,3,14,1468,11,802,11,631,3,10,328.18,282.23,14125,90012,00120,6,1
24005004010,24,005,004010,2582,32,2269,32,261,5,15,2104,23,1839,23,204,4,11,470.36,404.51,14125,90012,00120,6,1
24005004012,24,005,004012,2853,25,1986,25,816,2,20,2220,12,1633,12,544,2,17,496.29,426.81,86475,90012,00120,8,1
24005004014,24,005,004014,1503,8,1458,8,1,2,34,1223,7,1182,7,1,2,24,273.41,235.13,14125,90012,00120,6,1
24005004031,24,005,004031,2261,16,1503,16,707,1,34,1898,12,1344,12,501,1,28,681.25,274.08,47450,90196,00120,6,4
24005004033,24,005,004033,2504,24,2034,24,425,2,18,2072,21,1678,21,337,2,13,743.7,299.21,47450,90196,00120,6,4
24005004035,24,005,004035,3864,36,3748,36,43,0,33,3157,23,3053,23,37,0,21,1133.14,455.89,61400,90196,00120,6,4
24005004041,24,005,004041,5101,59,4656,59,268,13,101,3951,36,3589,36,204,11,75,900.78,769.52,59425,90288,00120,1,4
24005004043,24,005,004043,540,3,352,3,184,0,1,534,3,347,3,180,0,1,121.75,104,59425,90288,00120,1,4
24005004045,24,005,004045,9282,158,7802,158,1081,16,223,7047,113,5944,113,707,15,155,1606.62,1372.51,65600,90288,00120,1,4
24005004048,24,005,004048,1536,13,1430,13,52,0,41,1129,4,1065,4,31,0,25,257.4,219.89,65600,90288,00120,1,1
24005004049,24,005,004049,2721,40,2583,40,42,0,56,1860,29,1732,29,35,0,35,424.06,362.26,59425,90288,00120,1,4
24005004050,24,005,004050,4406,22,4325,22,32,5,22,3398,15,3320,15,29,5,14,579,877,36500,90380,00120,1,3
24005004060,24,005,004060,4484,25,4407,25,12,8,32,3287,15,3217,15,11,8,21,535,759,NA,90472,00120,1,3
24005004070,24,005,004070,6910,40,6670,40,158,4,38,5159,26,4953,26,126,4,24,954,1351,NA,90564,00120,1,3
24005004081,24,005,004081,3697,18,3490,18,103,5,76,3069,16,2890,16,88,5,54,699.69,597.73,NA,90656,00120,1,3
24005004082,24,005,004082,1635,18,1485,18,71,4,57,1245,13,1113,13,61,4,41,283.84,242.48,NA,90656,00120,1,3
24005004083,24,005,004083,5443,60,5017,60,60,2,299,3855,40,3547,40,38,2,188,878.89,750.82,NA,90656,00120,1,3
24005004084,24,005,004084,363,2,339,2,9,0,13,322,2,298,2,9,0,11,73.41,62.71,18250,90656,00120,1,3
24005004088,24,005,004088,2316,24,2195,24,80,1,16,1925,20,1802,20,69,1,13,438.87,374.92,48900,90656,00120,1,3
24005004089,24,005,004089,2323,23,2186,23,55,0,59,1859,17,1744,17,42,0,39,423.83,362.07,18250,90656,00120,1,3
