GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
35015000002,35,015,000002,4179,3736,9,353,18,63,0,3182,2896,6,222,15,43,0,727.62,826.31,NA,12150,90480,00300,3,2
35015000003,35,015,000003,5552,4305,40,1147,29,20,11,4221,3448,25,707,20,13,8,965.2,1096.12,NA,12150,90480,00300,3,2
35015000004,35,015,000004,8391,5399,127,2790,34,22,19,5704,3933,82,1635,30,13,11,1304.31,1481.24,NA,12150,90480,00300,3,2
35015000005,35,015,000005,3559,1339,104,2078,3,6,29,2494,1046,70,1351,3,5,19,570.29,647.65,NA,12150,90480,00300,3,2
35015000006,35,015,000006,4784,2156,291,2285,20,22,10,3203,1539,206,1422,16,16,4,732.42,831.77,NA,12150,90480,00300,3,2
35015000007,35,015,000007,3868,2703,10,1120,29,2,4,2544,1846,8,664,22,2,2,581.73,660.64,NA,12150,90480,00300,3,2
35015000008,35,015,000008,1851,561,7,1273,6,0,4,1239,427,3,801,5,0,3,283.32,321.75,NA,44420,91920,01710,3,2
35015000009,35,015,000009,300,268,0,32,0,0,0,214,196,0,18,0,0,0,48.93,55.57,NA,NA,91800,00120,3,2
35015000010,35,015,000010,5609,2303,106,3162,13,6,19,3785,1741,88,1927,12,3,14,865.5,982.9,NA,5220,90150,00120,3,2
35015000011,35,015,000011,5932,4465,28,1381,33,11,14,4202,3338,13,815,19,7,10,960.86,1091.19,NA,5220,90150,00120,3,2
35015000012,35,015,000012,3025,1910,2,1094,18,1,0,1986,1334,2,639,10,1,0,454.13,515.73,NA,33290,90150,00120,3,2
35017009841,35,017,009841,958,813,0,140,4,1,0,699,600,0,94,4,1,0,184.24,142.3,NA,NA,92400,02430,3,2
35017009842,35,017,009842,1822,1361,2,438,20,0,1,1184,937,1,236,10,0,0,312.07,241.04,NA,NA,93600,02430,3,2
35017009843,35,017,009843,6754,3731,51,2901,41,30,0,4792,2875,39,1821,37,20,0,1263.03,975.56,NA,73260,93000,02430,3,2
35017009844,35,017,009844,4371,1258,37,3035,22,17,2,2973,957,23,1961,17,13,2,783.59,605.25,NA,73260,93000,02430,3,2
35017009845,35,017,009845,3164,1010,13,2101,40,0,0,2149,754,11,1356,28,0,0,566.41,437.49,NA,13550,90540,00600,3,2
35017009846,35,017,009846,3665,703,0,2940,19,3,0,2494,568,0,1912,11,3,0,657.34,507.73,NA,6270,90210,00600,3,2
35017009847,35,017,009847,4052,2932,15,1076,27,2,0,2901,2240,6,640,14,1,0,764.62,590.59,NA,73260,93000,02430,3,2
35017009848,35,017,009848,1794,789,2,989,10,4,0,1280,619,0,650,9,2,0,337.37,260.58,NA,33850,91560,00600,3,2
35017009849,35,017,009849,1096,644,0,441,11,0,0,798,491,0,300,7,0,0,210.33,162.46,NA,NA,92070,00600,3,2
35019009616,35,019,009616,2509,328,6,2141,4,26,4,1703,253,4,1422,3,19,2,701.41,486.32,NA,70670,92910,02400,1,2
35019009617,35,019,009617,741,107,1,632,1,0,0,537,83,1,452,1,0,0,221.17,153.35,NA,82570,93660,00001,1,2
35019009618,35,019,009618,529,42,0,486,1,0,0,387,37,0,349,1,0,0,159.39,110.51,NA,NA,90990,02400,1,2
35019009619,35,019,009619,377,120,0,246,10,0,1,255,85,0,166,3,0,1,105.03,72.82,NA,70670,92910,02400,1,2
35021009561,35,021,009561,987,517,2,461,5,1,1,709,369,2,334,3,0,1,268,341,NA,65070,92220,02280,2,3
35023009881,35,023,009881,1756,1228,3,522,3,0,0,1158,818,1,336,3,0,0,255.43,303.96,NA,42180,92250,01620,3,2
35023009882,35,023,009882,2911,814,6,2057,12,22,0,2010,656,3,1326,8,17,0,443.36,527.59,NA,42180,92250,01620,3,2
35023009883,35,023,009883,1291,875,0,405,4,7,0,817,577,0,231,3,6,0,180.21,214.45,NA,NA,93180,00090,3,2
35025000001,35,025,000001,2723,1097,101,1485,15,12,13,1769,856,66,827,10,7,3,246.15,488.6,NA,32520,91470,01260,3,2
35025000002,35,025,000002,3459,1683,107,1629,26,2,12,2199,1226,58,890,17,1,7,305.98,607.36,NA,32520,91470,01260,3,2
35025000003,35,025,000003,3654,1043,698,1886,18,6,3,2255,777,475,981,14,5,3,313.78,622.83,NA,32520,91470,01260,3,2
35025000004,35,025,000004,2532,806,543,1162,6,10,5,1572,595,336,624,6,9,2,218.74,434.19,NA,32520,91470,01260,3,2
35025000005,35,025,000005,12170,10141,403,1523,49,47,7,8374,7221,211,874,36,29,3,1165.22,2312.89,NA,32520,91470,01260,3,2
35025000006,35,025,000006,5968,4120,328,1436,40,43,1,4193,3154,195,795,27,21,1,583.44,1158.1,NA,32520,91470,01260,3,2
35025000007,35,025,000007,6374,5503,54,762,35,20,0,4317,3796,35,446,26,14,0,600.7,1192.35,NA,32520,91470,01260,3,2
35025000008,35,025,000008,3014,2187,29,772,25,1,0,1992,1546,20,403,22,1,0,277.18,550.19,NA,25450,91230,00960,3,2
35025000009,35,025,000009,2335,1487,5,812,30,1,0,1577,1128,5,426,17,1,0,219.43,435.57,NA,35040,91620,01350,3,2
35025000011,35,025,000011,1429,1006,16,389,12,6,0,985,763,12,201,7,2,0,137.06,272.06,NA,76620,93360,02550,3,2
35025001001,35,025,001001,2206,1680,7,503,13,3,0,1487,1219,3,254,9,2,0,206.91,410.71,NA,44490,91950,01740,3,2
35025001002,35,025,001002,6225,3160,210,2807,37,5,6,4046,2328,131,1555,23,5,4,562.99,1117.5,NA,44490,91950,01740,3,2
35025001003,35,025,001003,3676,2176,45,1432,13,9,1,2468,1625,31,798,8,5,1,343.41,681.66,NA,44490,91950,01740,3,2
35027009801,35,027,009801,524,380,0,140,1,0,3,379,280,0,96,1,0,2,61.92,136.52,NA,17680,90780,00630,3,2
35027009802,35,027,009802,1260,601,5,647,7,0,0,998,505,5,481,7,0,0,163.05,359.49,NA,12500,90510,00330,3,2
35027009803,35,027,009803,2223,1628,17,557,18,1,2,1681,1234,15,419,11,0,2,274.63,605.52,NA,11800,90450,00270,3,2
35027009804,35,027,009804,889,255,0,632,1,0,1,616,209,0,405,1,0,1,100.64,221.89,NA,NA,91500,01290,3,2
35027009805,35,027,009805,995,845,0,137,12,1,0,745,644,0,91,9,1,0,121.71,268.36,NA,65280,92700,02310,3,2
35027009806,35,027,009806,2419,1993,3,383,27,13,0,1842,1578,2,240,17,5,0,300.94,663.52,NA,65210,92700,02310,3,2
