GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,school,cd_1980,cd_1990
29059009801,29,059,009801,3538,3478,11,19,28,2,0,2607,2570,8,8,19,2,0,47,120,75310,36494,NA,14320,2,4
29059009802,29,059,009802,4395,4342,5,22,20,6,0,3229,3191,1,18,15,4,0,622,1346,9514,52886,NA,06120,2,4
29059009803,29,059,009803,4713,4642,0,24,38,9,0,3413,3370,0,15,22,6,0,215,332,NA,77344,NA,06120,2,4
29061009701,29,061,009701,3100,3062,1,20,13,4,0,2295,2275,1,11,6,2,0,77,118,56558,4636,NA,23670,6,6
29061009702,29,061,009702,4765,4719,1,26,11,8,0,3452,3423,1,18,5,5,0,23,56,26308,74590,NA,12660,6,6
29063009801,29,063,009801,6101,5101,728,183,60,22,7,5062,4083,727,174,54,17,7,94,156,46946,10720,NA,20550,6,6
29063009802,29,063,009802,3866,3833,1,17,5,9,1,2782,2762,1,8,5,5,1,135,135,70738,77380,NA,20550,6,6
29065009601,29,065,009601,4045,3997,0,26,15,7,0,2886,2861,0,12,9,4,0,264,359,9694,67664,10650,27090,3,8
29065009602,29,065,009602,4349,4297,8,14,22,6,2,3224,3187,7,10,17,3,0,193,269,NA,77830,10710,27090,3,8
29065009603,29,065,009603,2480,2440,0,25,10,5,0,1918,1891,0,14,9,4,0,458.66,708.23,65234,69608,10710,27090,3,8
29065009604,29,065,009604,2828,2779,1,24,13,10,1,2063,2037,0,12,10,4,0,493.34,761.77,65234,69608,10650,27090,3,8
29067009501,29,067,009501,3161,3100,1,32,27,1,0,2281,2240,1,19,20,1,0,11,82,NA,14320,11010,21510,2,7
29067009502,29,067,009502,4505,4437,2,25,38,3,0,3252,3208,1,15,26,2,0,77,149,NA,7174,11040,04050,2,7
29067009503,29,067,009503,3961,3898,0,31,23,9,0,2978,2935,0,18,19,6,0,407.42,1122.51,2674,4654,NA,04050,2,7
29067009504,29,067,009504,249,245,0,2,0,2,0,187,183,0,2,0,2,0,25.58,70.49,2674,4654,NA,04050,2,7
29069009601,29,069,009601,3488,2320,1127,28,11,1,1,2395,1773,597,15,9,1,0,462.33,608.05,45614,16696,NA,19890,3,8
29069009602,29,069,009602,2888,2736,131,10,4,6,1,2174,2085,76,6,2,4,1,419.67,551.95,45614,16696,NA,19890,3,8
29069009603,29,069,009603,4545,4506,8,21,10,0,0,3332,3309,5,11,7,0,0,631,1008,10864,74608,NA,07050,3,8
29069009604,29,069,009604,3826,3768,46,5,3,4,0,2885,2845,33,2,3,2,0,211,178,14212,25804,NA,14460,3,8
29069009605,29,069,009605,2842,2245,558,11,5,23,0,2075,1729,321,6,5,14,0,425.35,513.11,38306,34390,NA,16500,3,8
29069009606,29,069,009606,4872,4308,503,23,18,12,8,3397,3133,228,12,15,9,0,696.34,840.01,38306,34390,NA,16500,3,8
29069009607,29,069,009607,3515,3370,113,14,2,16,0,2709,2622,68,11,1,7,0,555.31,669.88,38306,34390,NA,16500,3,8
29069009608,29,069,009608,2439,2398,3,15,22,1,0,1886,1859,3,10,14,0,0,435.35,307.04,66638,65252,NA,27870,3,8
29069009609,29,069,009609,2261,2102,135,20,2,2,0,1696,1598,82,13,2,1,0,342,290,33076,14338,NA,27870,3,8
29069009610,29,069,009610,2436,2402,0,22,7,5,0,1818,1797,0,11,5,5,0,419.65,295.96,11350,9532,NA,28620,3,8
29071008001,29,071,008001,6344,6290,12,18,9,15,0,4464,4436,7,10,6,5,0,719.59,1044.26,76192,6958,NA,31110,5,9
29071008002,29,071,008002,8164,8044,38,36,15,31,0,5891,5825,26,18,7,15,0,1119.03,2343.09,77416,77434,NA,31110,5,9
29071008003,29,071,008003,6540,6425,46,51,8,10,0,4822,4744,33,29,7,9,0,915.97,1917.91,77416,77434,NA,31110,5,9
29071008004,29,071,008004,10381,10267,32,54,14,14,0,7351,7277,22,30,10,12,0,897.03,1569.58,51914,44714,12510,30570,5,9
29071008005,29,071,008005,6261,6213,3,24,6,14,1,4454,4424,2,14,6,8,0,543.51,951.01,26866,7192,12450,23340,5,9
29071008006,29,071,008006,10277,10062,106,71,14,22,2,7238,7093,83,44,9,9,0,713.39,1126.35,74626,74644,NA,30570,5,9
29071008007,29,071,008007,8397,8065,228,66,10,24,4,5958,5737,152,44,8,15,2,960.41,1393.74,55910,6958,NA,23460,5,9
29071008008,29,071,008008,6501,6209,201,41,20,22,8,4625,4423,147,28,15,11,1,609,790,NA,10630,19200,23460,5,9
29071008009,29,071,008009,7912,7788,53,31,27,12,1,5627,5551,33,19,18,6,0,554.61,875.65,64136,12754,NA,29100,5,9
29071008010,29,071,008010,3033,2971,17,24,11,4,6,2113,2079,9,16,7,2,0,421,639,NA,59528,19200,29100,5,9
29071008011,29,071,008011,6793,6735,1,25,11,21,0,5060,5021,0,15,9,15,0,617.46,1080.41,71440,47396,12450,29760,3,9
29073009601,29,073,009601,2999,2972,5,18,4,0,0,2356,2337,3,12,4,0,0,277.59,839.18,31762,62336,NA,14280,5,9
29073009602,29,073,009602,1728,1714,5,0,6,3,0,1319,1311,3,0,4,1,0,155.41,469.82,26578,61490,NA,14280,5,9
29073009603,29,073,009603,2340,2328,0,5,4,3,0,1742,1732,0,5,2,3,0,59,212,63110,6814,NA,23340,5,9
29073009604,29,073,009604,3080,3071,0,4,0,5,0,2269,2260,0,4,0,5,0,418,1428,55640,11008,NA,23340,5,9
29073009605,29,073,009605,3859,3839,0,8,6,6,0,2832,2816,0,7,4,5,0,71,214,6256,11008,12480,23340,5,9
29075009601,29,075,009601,3314,3275,5,11,20,3,0,2510,2485,2,8,13,2,0,498.98,581.66,514,2386,NA,02970,6,6
29075009602,29,075,009602,3534,3510,1,16,5,1,1,2651,2638,1,6,4,1,1,527.02,614.34,70270,16282,NA,29340,6,6
29077000001,29,077,000001,1903,1763,51,29,22,37,1,1782,1651,48,29,19,34,1,296.28,656.02,70000,70009,NA,28860,2,7
29077000002,29,077,000002,4277,4013,154,46,12,49,3,4220,3964,150,45,12,46,3,701.62,1553.53,70000,70009,NA,28860,2,7
29077000003,29,077,000003,3640,3546,8,58,12,16,0,3134,3053,8,46,11,16,0,521.06,1153.73,70000,70009,NA,28860,2,7
29077000004,29,077,000004,3646,3312,123,62,51,95,3,2778,2598,67,34,26,53,0,461.87,1022.68,70000,70009,NA,28860,2,7
29077000005,29,077,000005,5953,5499,261,60,81,48,4,4707,4414,161,43,57,32,0,782.59,1732.81,70000,70009,NA,28860,2,7
29077000006,29,077,000006,2750,2501,172,38,23,15,1,2103,1946,104,27,15,10,1,349.65,774.19,70000,70009,NA,28860,2,7
29077000007,29,077,000007,4019,3323,560,67,31,30,8,3204,2717,394,42,26,23,2,532.7,1179.5,70000,70009,NA,28860,2,7
29077000008,29,077,000008,3645,3100,426,63,28,18,10,3003,2602,314,49,21,15,2,499.28,1105.51,70000,70009,NA,28860,2,7
29077000009,29,077,000009,5036,4818,89,56,23,48,2,4441,4256,76,41,22,45,1,738.36,1634.89,70000,70009,NA,28860,2,7
29077000010,29,077,000010,2283,2258,0,12,4,9,0,1893,1873,0,8,3,9,0,314.73,696.88,70000,70009,NA,28860,2,7
29077000011,29,077,000011,3381,3285,25,29,14,25,3,2902,2826,19,22,13,21,1,482.49,1068.33,70000,70009,NA,28860,2,7
29077000012,29,077,000012,3970,3835,34,20,26,54,1,3224,3132,21,16,19,36,0,536.02,1186.87,70000,70009,NA,28860,2,7
29077000014,29,077,000014,2428,2319,45,28,26,10,0,1919,1849,31,15,15,9,0,319.05,706.45,70000,70009,NA,28860,2,7
