GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
17075009507,17,075,009507,2813,2767,22,19,2,3,0,2150,2118,18,10,2,2,0,79,359,44264,2401,NA,NA,07650,16,3
17075009508,17,075,009508,2689,2676,0,8,4,1,0,1979,1969,0,7,2,1,0,45,295,14468,59767,07590,25980,10290,16,3
17075009509,17,075,009509,3077,3008,3,55,5,6,0,2278,2241,2,26,4,5,0,41,110,49048,49061,25950,25980,19660,16,3
17077000101,17,077,000101,2959,2937,1,9,9,3,0,2160,2146,1,6,4,3,0,55,84,3103,7731,NA,NA,08250,13,18
17077000102,17,077,000102,4095,4019,32,27,6,11,0,2986,2939,23,13,6,5,0,249,339,19616,23217,12150,08370,13860,13,18
17077000103,17,077,000103,3386,3348,1,29,4,4,0,2447,2425,1,16,4,1,0,113,151,30770,30783,39930,08370,17130,13,18
17077000104,17,077,000104,4326,4218,69,27,7,5,0,3221,3145,49,16,7,4,0,451,839,51453,70408,12150,08370,27610,13,18
17077000106,17,077,000106,6244,5774,334,88,17,30,1,4692,4434,186,41,15,16,0,570.96,862.48,51453,51466,NA,NA,27610,13,18
17077000107,17,077,000107,3727,2893,745,56,7,20,6,2834,2293,478,37,5,17,4,344.86,520.94,51453,51466,NA,NA,27610,13,18
17077000108,17,077,000108,4108,3352,563,80,13,91,9,3399,2898,348,53,13,82,5,403.66,558.06,11163,11170,08340,08370,27610,13,18
17077000109,17,077,000109,2012,634,1317,42,1,16,2,1438,520,891,17,1,8,1,170.78,236.09,11163,11170,08340,08370,NA,13,18
17077000110,17,077,000110,5618,4896,350,95,6,269,2,4513,4008,236,64,6,199,0,549.18,829.58,11163,11170,08340,08370,27610,13,18
17077000111,17,077,000111,3479,2524,268,90,3,587,7,3343,2423,243,90,3,577,7,397.01,548.86,11163,11170,08340,08370,NA,13,18
17077000112,17,077,000112,5580,3836,1419,155,8,156,6,4819,3531,1002,128,8,149,1,572.3,791.19,11163,11170,08340,08370,NA,13,18
17077000113,17,077,000113,6729,5013,776,196,7,727,10,6243,4776,714,170,6,571,6,741.42,1024.99,11163,11170,08340,08370,NA,13,18
17077000114,17,077,000114,3204,2738,250,79,3,128,6,3012,2578,225,75,3,125,6,357.7,494.52,11163,11170,08340,08370,NA,13,18
17077000115,17,077,000115,2336,2117,105,33,6,74,1,1963,1796,68,28,6,64,1,233.12,322.29,11163,11170,39930,08370,NA,13,18
17077000116,17,077,000116,3264,3110,29,76,4,43,2,2397,2303,15,46,1,31,1,495,872,46214,46227,39930,08370,10570,13,18
17079009773,17,079,009773,3280,3257,0,11,5,7,0,2325,2308,0,8,4,5,0,119,266,34553,17653,NA,NA,20380,5,10
17079009774,17,079,009774,2823,2806,0,14,1,2,0,2121,2109,0,9,1,2,0,747,1304,52844,78357,NA,NA,20380,5,10
17079009775,17,079,009775,4506,4485,1,7,5,7,1,3165,3152,0,7,3,3,0,84,124,67002,67015,NA,NA,20380,5,10
17081000501,17,081,000501,3638,3554,45,15,15,8,1,2634,2581,27,9,11,6,0,197,343,20123,65377,34590,27360,NA,13,11
17081000502,17,081,000502,2842,2831,0,8,2,0,1,1997,1993,0,2,2,0,0,307,400,6964,79514,06630,41370,NA,13,11
17081000503,17,081,000503,4023,4008,2,10,0,3,0,2974,2962,2,8,0,2,0,63,68,78708,23334,43170,43200,40650,13,11
17081000504,17,081,000504,3445,3413,7,15,8,2,0,2432,2406,7,9,8,2,0,38,74,4806,58564,05570,27360,10790,13,11
17081000505,17,081,000505,3306,3166,96,4,6,33,1,2516,2424,63,3,4,22,0,351.95,715.98,51180,69511,43170,27360,40650,13,11
17081000506,17,081,000506,3241,3123,68,16,4,29,1,2481,2418,38,5,4,16,0,347.05,706.02,51180,69511,27340,27360,NA,13,11
17081000507,17,081,000507,4210,4117,55,15,6,17,0,3112,3061,26,9,6,10,0,640.21,860.35,51180,51193,27340,27360,NA,13,11
17081000508,17,081,000508,3580,3564,0,13,1,2,0,2643,2633,0,9,1,0,0,543.72,730.69,51180,51193,38190,27360,NA,13,11
17081000509,17,081,000509,3086,2867,187,20,3,7,2,2310,2190,97,14,3,6,0,475.22,638.63,51180,51193,27340,27360,NA,13,11
17081000510,17,081,000510,2151,1181,929,11,6,18,6,1477,941,507,10,4,14,1,303.85,408.33,51180,51193,27340,27360,NA,13,11
17081000511,17,081,000511,3498,2932,528,30,1,7,0,2497,2184,286,21,1,5,0,347,468,51180,51193,27340,27360,NA,13,11
17083000101,17,083,000101,4603,4567,3,8,15,10,0,3340,3315,2,7,11,5,0,90,152,38414,38401,NA,NA,20430,18,11
17083000102,17,083,000102,2731,2697,14,14,0,6,0,1921,1900,8,10,0,3,0,334,411,8264,59598,NA,NA,31500,18,11
17083000103,17,083,000103,4002,3919,32,29,10,10,2,3043,2973,28,22,10,10,0,290,448,23776,23789,NA,NA,20430,18,11
17083000104,17,083,000104,7412,7362,9,32,3,5,1,5475,5451,2,14,3,4,1,71,98,38414,38401,NA,NA,20430,18,11
17083000105,17,083,000105,1791,1722,36,20,12,1,0,1252,1232,2,9,8,1,0,100,78,30653,62354,NA,NA,20430,18,11
17085000201,17,085,000201,4444,4419,1,20,3,1,0,3240,3226,1,9,3,1,0,54,175,78851,78864,NA,NA,40740,15,4
17085000202,17,085,000202,5020,4983,6,13,7,11,0,3546,3521,2,7,7,9,0,112,140,21683,21202,NA,NA,13050,15,4
17085000203,17,085,000203,4720,4673,5,30,6,6,0,3592,3567,1,14,5,5,0,146,265,28300,80359,NA,NA,16050,15,4
17085000204,17,085,000204,4227,4197,1,22,2,5,0,3186,3164,1,16,2,3,0,97,322,23165,32720,NA,NA,00001,15,4
17085000205,17,085,000205,3410,3398,0,9,1,2,0,2541,2534,0,5,1,1,0,217,699,72780,72793,NA,NA,37980,15,4
17087009776,17,087,009776,5688,4505,1021,146,12,3,1,4828,3647,1021,146,10,3,1,75,180,52285,90450,28160,40290,00014,13,10
17087009777,17,087,009777,2286,2260,1,15,7,3,0,1708,1689,0,12,6,1,0,98,181,30575,91188,07740,40290,00014,13,10
17087009778,17,087,009778,3373,3311,20,28,7,7,0,2563,2535,10,9,6,3,0,52,131,77863,93546,40260,40290,39630,13,10
17089008501,17,089,008501,5150,4744,22,307,7,64,6,3461,3237,11,175,2,35,1,282.86,826.13,685,21046,NA,NA,08550,3,20
17089008504,17,089,008504,2414,2342,8,50,0,12,2,1822,1777,5,28,0,12,0,148.91,434.91,21696,21046,NA,NA,08550,3,20
17089008505,17,089,008505,3608,3525,5,69,1,7,1,2710,2651,4,46,1,7,1,221.48,646.87,80125,21046,NA,NA,08550,3,20
17089008506,17,089,008506,5294,5075,35,94,7,83,0,3770,3619,26,63,4,58,0,308.11,899.89,70161,21046,NA,NA,08550,3,20
17089008508,17,089,008508,5931,4870,203,756,10,83,9,4372,3723,118,467,9,52,3,368.71,1010,23074,23087,NA,NA,13710,3,20
17089008509,17,089,008509,1015,340,218,415,0,39,3,624,261,129,215,0,19,0,52.63,144.15,23074,23087,NA,NA,13710,3,20
17089008510,17,089,008510,6413,5278,565,446,10,101,13,5166,4358,438,291,9,66,4,435.68,1193.42,23074,23087,NA,NA,13710,3,20
17089008511,17,089,008511,7373,6122,207,941,7,79,17,5428,4652,129,583,4,57,3,457.77,1253.95,23074,23087,NA,NA,13710,3,20
17089008512,17,089,008512,367,116,34,175,0,42,0,270,100,22,119,0,29,0,22.77,62.37,23074,23087,NA,NA,13710,3,20
17089008513,17,089,008513,10105,3496,1170,4724,26,667,22,6668,2670,716,2865,17,396,4,562.35,1540.4,23074,23087,NA,NA,13710,3,20
17089008514,17,089,008514,6601,3471,585,2350,10,179,6,4441,2552,334,1438,6,111,0,374.53,1025.94,23074,23087,NA,NA,13710,3,20
17089008515,17,089,008515,1011,403,227,365,3,9,4,689,308,153,218,3,5,2,58.11,159.17,23074,23087,NA,NA,13710,3,20
17089008516,17,089,008516,5850,4919,273,567,16,75,0,4272,3700,165,353,11,43,0,360.28,986.89,23074,23087,NA,NA,13710,3,20
17089008517,17,089,008517,978,581,323,57,3,14,0,977,581,322,57,3,14,0,82.4,225.7,23074,23087,NA,NA,13710,3,20
17089008521,17,089,008521,6145,6024,14,56,1,50,0,4276,4190,12,45,1,28,0,401.04,1423.01,66703,66716,NA,NA,37170,3,20
17089008523,17,089,008523,2004,1880,7,92,3,22,0,1592,1495,4,79,2,12,0,149.31,529.8,66703,66716,NA,NA,37170,3,20
17089008525,17,089,008525,5836,5418,144,196,11,67,0,4335,4005,132,141,8,49,0,436.31,1629.42,28872,28885,NA,NA,16380,3,20
17089008526,17,089,008526,10189,9973,24,96,7,88,1,7379,7250,16,57,6,49,1,742.69,2773.58,28872,28885,NA,NA,16380,3,20
17089008527,17,089,008527,5878,5341,251,207,4,59,16,4266,3913,182,130,3,35,3,448.64,1299.85,4078,4091,NA,NA,05220,3,20
17089008531,17,089,008531,2563,2157,99,288,8,10,1,1826,1586,57,171,6,6,0,197.08,334.85,3012,3025,NA,NA,04710,3,20
17089008532,17,089,008532,5591,3406,1004,1116,16,42,7,3749,2467,613,623,9,33,4,404.62,687.48,3012,3025,NA,NA,04710,17,20
17089008533,17,089,008533,2854,1861,71,908,4,7,3,2059,1461,39,549,4,4,2,222.22,377.57,3012,3025,NA,NA,04680,17,20
17089008534,17,089,008534,7474,1302,722,5382,9,38,21,4492,945,426,3082,5,22,12,484.81,823.73,3012,3025,NA,NA,04680,17,20
17089008535,17,089,008535,4154,980,1037,2107,5,13,12,2601,745,655,1186,5,6,4,280.72,476.97,3012,3025,NA,NA,04680,17,20
17089008536,17,089,008536,6917,1790,1288,3788,8,27,16,4337,1339,793,2179,4,17,5,468.08,795.31,3012,3025,NA,NA,04680,17,20
17089008537,17,089,008537,614,332,81,196,1,4,0,537,312,69,151,1,4,0,57.96,98.47,3012,3025,NA,NA,04680,17,20
17089008538,17,089,008538,1654,693,108,836,1,10,6,1100,539,83,471,1,5,1,118.72,201.72,3012,3025,NA,NA,04710,17,20
17089008539,17,089,008539,5928,5411,205,275,7,30,0,4466,4106,153,178,5,24,0,482,818.97,3012,3025,NA,NA,04710,3,20
17089008541,17,089,008541,3702,2139,227,1313,4,17,2,2559,1604,150,789,4,11,1,276.19,469.26,3012,3025,NA,NA,04680,17,20
