GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
15003003404,15,003,003404,4757,1456,52,196,13,3034,6,4120,1333,43,152,13,2575,4,834.22,785.2,17000,90810,00036,00047,00030,1,1
15003003405,15,003,003405,3080,1121,30,118,18,1786,7,2788,1057,26,104,15,1581,5,564.52,531.35,17000,90810,00036,00047,00030,1,1
15003003406,15,003,003406,5924,1307,75,274,29,4227,12,4976,1178,59,202,22,3507,8,1007.55,948.34,17000,90810,00012,00047,00030,1,1
15003003407,15,003,003407,1136,512,8,23,4,588,1,1016,489,5,18,4,500,0,205.72,193.63,17000,90810,00012,00047,00030,1,1
15003003696,15,003,003696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,90810,00012,00040,00030,1,1
15003003697,15,003,003697,2369,291,16,66,7,1987,2,2048,260,10,49,6,1721,2,414.68,390.32,17000,90810,00012,00040,00030,1,1
15003003698,15,003,003698,5235,1306,45,163,10,3680,31,4795,1241,38,129,10,3356,21,970.9,913.85,17000,90810,00012,00040,00030,1,1
15003005799,15,003,005799,298,254,11,14,1,18,0,297,253,11,14,1,18,0,60.14,56.6,17000,90810,00046,00006,00030,1,1
15003006201,15,003,006201,5040,281,27,301,10,4410,11,3622,211,15,192,8,3190,6,733.39,690.29,17000,90810,00007,00006,00030,1,1
15003006202,15,003,006202,2390,118,47,197,8,2012,8,1147,55,21,75,2,991,3,232.25,218.6,17000,90810,00035,00006,00030,1,1
15003006301,15,003,006301,3433,191,8,194,0,3037,3,2725,144,6,137,0,2436,2,551.76,519.34,17000,90810,00013,00006,00030,1,1
15003006302,15,003,006302,2781,156,7,150,9,2457,2,1556,104,5,86,3,1358,0,315.06,296.55,17000,90810,00013,00006,00030,1,1
15003006401,15,003,006401,1827,84,8,54,0,1681,0,1384,67,7,30,0,1280,0,280.23,263.77,17000,90810,00024,00006,00030,1,1
15003006402,15,003,006402,5680,528,22,423,5,4696,6,4228,422,16,294,4,3487,5,856.09,805.79,17000,90810,00023,00006,00030,1,1
15003006701,15,003,006701,6894,1003,212,222,3,5445,9,5695,717,150,150,2,4673,3,1153.13,1085.37,17000,90810,00072,00073,00030,1,1
15003006702,15,003,006702,2758,878,31,286,13,1537,13,1670,527,17,146,7,967,6,338.14,318.27,17000,90810,00081,00073,00030,1,1
15003006802,15,003,006802,5845,894,66,555,7,4306,17,4300,710,53,365,6,3156,10,870.67,819.51,17000,90810,00077,00080,00030,1,1
15003006803,15,003,006803,36,19,13,3,0,1,0,33,17,12,3,0,1,0,6.68,6.29,17000,90810,00072,00073,00030,1,1
15003006804,15,003,006804,8835,4288,1841,1030,32,1638,6,4900,2477,1033,521,22,845,2,992.16,933.86,1925,90810,00068,00080,00030,1,1
15003006805,15,003,006805,4326,818,104,231,6,3152,15,3413,689,84,166,5,2462,7,691.07,650.46,17000,90810,00072,00073,00030,1,1
15003006806,15,003,006806,1922,140,5,43,1,1731,2,1628,112,3,31,1,1480,1,329.64,310.27,17000,90810,00082,00073,00030,1,1
15003006807,15,003,006807,10084,2513,453,817,37,6247,17,7809,2121,350,548,24,4755,11,1581.18,1488.27,17000,90810,00082,00073,00030,1,1
15003007399,15,003,007399,53,32,16,1,1,3,0,53,32,16,1,1,3,0,10.73,10.1,14200,90270,00063,00080,00030,1,1
15003007499,15,003,007499,4331,3168,651,306,36,159,11,4330,3168,650,306,36,159,11,876.75,825.23,NA,90270,00078,00080,00030,1,1
15003007502,15,003,007502,1236,347,120,234,15,520,0,1209,332,119,230,15,513,0,244.8,230.42,10150,90270,00091,00056,00030,1,1
15003007503,15,003,007503,4952,800,37,296,5,3807,7,3961,646,26,197,5,3083,4,802.03,754.9,10150,90270,00091,00056,00030,1,1
15003007504,15,003,007504,3080,430,67,442,8,2128,5,1968,291,37,236,6,1394,4,398.48,375.07,10150,90270,00055,00056,00030,1,1
15003007505,15,003,007505,5189,1707,101,297,4,3071,9,4045,1444,81,207,4,2306,3,819.04,770.91,10150,90270,00068,00080,00030,1,1
15003007506,15,003,007506,1367,1086,100,71,7,102,1,845,678,54,41,6,65,1,171.1,161.04,NA,90270,00081,00073,00030,1,1
15003007701,15,003,007701,4206,810,58,305,5,3023,5,3266,557,40,208,2,2459,0,661.3,622.45,550,90270,00083,00056,00030,1,1
15003007702,15,003,007702,4689,1181,25,264,1,3207,11,3824,984,20,175,1,2639,5,774.29,728.79,550,90270,00083,00056,00030,1,1
15003007802,15,003,007802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,90270,00079,00056,00030,1,1
15003007803,15,003,007803,9136,1698,66,246,15,7089,22,6672,1346,53,177,10,5076,10,1350.96,1271.57,77750,90270,00090,00056,00030,1,1
15003007804,15,003,007804,2034,195,5,54,0,1775,5,1642,158,4,40,0,1437,3,332.47,312.94,62600,90270,00121,00120,00030,1,1
15003007805,15,003,007805,5300,1092,133,281,32,3754,8,3805,836,101,171,22,2671,4,770.44,725.17,77750,90270,00126,00120,00030,1,1
15003007806,15,003,007806,5441,1589,89,299,22,3426,16,4290,1302,65,202,16,2699,6,868.65,817.6,77750,90270,00079,00056,00030,1,1
15003007807,15,003,007807,5759,2758,281,450,34,2224,12,4891,2482,252,351,28,1770,8,990.34,932.14,77750,90270,00079,00056,00030,1,1
15003007808,15,003,007808,2960,560,77,286,7,2015,15,2242,460,54,191,4,1525,8,453.96,427.29,77750,90270,00090,00056,00030,1,1
15003008001,15,003,008001,1610,256,22,159,5,1168,0,1198,188,14,113,5,878,0,242.57,228.32,62600,90270,00107,00120,00030,1,1
15003008002,15,003,008002,2914,372,21,137,4,2374,6,2384,286,18,88,4,1986,2,482.72,454.35,62600,90270,00119,00120,00030,1,1
15003008003,15,003,008003,5055,1647,402,700,24,2254,28,3566,1230,316,438,13,1551,18,722.05,679.62,62600,90270,00112,00120,00030,1,1
15003008005,15,003,008005,7313,1410,42,624,6,5201,30,5595,1089,31,423,6,4028,18,1132.88,1066.31,62600,90270,00118,00120,00030,1,1
15003008006,15,003,008006,5383,513,33,111,13,4703,10,4298,378,23,76,10,3805,6,870.27,819.13,62600,90270,00112,00120,00030,1,1
15003008007,15,003,008007,5904,527,21,175,1,5161,19,4642,406,16,121,1,4090,8,939.92,884.69,62600,90270,00114,00120,00030,1,1
15003008301,15,003,008301,5786,4300,474,410,46,547,9,3201,2431,255,193,25,295,2,648.14,610.06,19100,90270,00102,00096,00030,2,1
15003008302,15,003,008302,6699,971,97,845,12,4753,21,4561,695,52,498,6,3300,10,923.52,869.25,7450,90270,00103,00096,00030,2,1
15003008603,15,003,008603,6509,3023,251,494,29,2703,9,4756,2387,178,315,20,1852,4,963,906.42,47750,90270,00115,00117,00030,2,2
15003008604,15,003,008604,4015,1373,63,380,10,2181,8,2850,1038,44,255,9,1498,6,577.07,543.16,47750,90270,00111,00096,00030,2,2
15003008698,15,003,008698,5521,622,26,682,8,4165,18,3954,459,17,439,5,3023,11,800.61,753.57,7485,90270,00098,00096,00030,2,2
15003008699,15,003,008699,23,15,6,2,0,0,0,23,15,6,2,0,0,0,4.66,4.38,NA,90270,00111,00096,00030,2,2
15003008701,15,003,008701,7598,609,48,527,20,6375,19,5718,478,34,351,11,4836,8,1157.79,1089.76,79700,90270,00094,00128,00030,1,1
15003008702,15,003,008702,4161,295,31,428,5,3389,13,2997,223,21,307,5,2434,7,606.84,571.18,79700,90270,00127,00128,00030,1,2
15003008798,15,003,008798,4471,646,105,748,29,2933,10,2704,451,73,387,18,1772,3,547.51,515.34,79700,90270,00127,00128,00030,2,1
15003008901,15,003,008901,8084,1213,341,1245,26,5242,17,5459,862,225,626,17,3718,11,1105.35,1040.4,79700,90270,00100,00128,00030,2,2
15003008904,15,003,008904,5183,1823,474,500,27,2338,21,3818,1385,341,330,19,1734,9,773.07,727.65,80000,90270,00066,00069,00030,1,1
15003008905,15,003,008905,7561,1494,107,737,14,5164,45,5101,1092,79,422,12,3480,16,1032.86,972.17,72255,90270,00104,00128,00030,2,2
15003008906,15,003,008906,4025,1620,107,197,18,2068,15,2897,1201,78,119,14,1482,3,586.59,552.12,51050,90270,00071,00069,00030,2,1
15003008907,15,003,008907,4560,1573,241,392,20,2327,7,3091,1056,147,208,14,1662,4,625.87,589.09,51050,90270,00066,00069,00030,2,1
15003008908,15,003,008908,6688,2031,160,291,8,4187,11,4338,1375,101,159,6,2690,7,878.37,826.75,51050,90270,00070,00069,00030,2,1
15003008909,15,003,008909,3779,1093,130,188,7,2352,9,2567,769,82,103,4,1605,4,519.77,489.23,51050,90270,00070,00069,00030,2,1
15003008910,15,003,008910,10444,3314,210,528,39,6318,35,7014,2297,146,300,27,4226,18,1420.21,1336.75,51050,90270,00071,00069,00030,1,1
15003008911,15,003,008911,11893,3244,345,649,21,7607,27,8591,2589,262,416,19,5287,18,1739.52,1637.3,79860,90270,00106,00120,00030,1,1
15003008912,15,003,008912,2193,123,8,159,1,1887,15,1662,99,6,115,1,1433,8,336.52,316.75,79700,90270,00094,00128,00030,1,2
15003009501,15,003,009501,3532,1881,945,468,22,205,11,1746,953,457,212,12,111,1,353.53,332.76,69050,93420,00085,00067,00030,2,2
15003009502,15,003,009502,7307,4405,1667,746,55,427,7,4785,2882,1162,432,35,269,5,968.87,911.94,69050,93420,00060,00067,00030,2,2
15003009503,15,003,009503,4339,2782,1031,375,57,85,9,4334,2779,1029,375,57,85,9,877.56,825.99,69050,93420,00060,00067,00030,2,2
15003009504,15,003,009504,1178,757,242,121,7,51,0,648,424,120,58,4,42,0,131.21,123.5,69050,93420,00060,00067,00030,2,2
15003009505,15,003,009505,3241,1616,923,389,21,275,17,1774,924,502,198,9,140,1,359.2,338.1,69050,93420,00060,00067,00030,2,2
15003009601,15,003,009601,5974,636,104,510,20,4686,18,3699,426,66,247,12,2938,10,748.98,704.97,53900,93600,00115,00117,00030,2,2
15003009603,15,003,009603,6820,1256,44,1212,22,4252,34,4348,923,32,628,14,2733,18,880.39,828.66,47300,93600,00109,00124,00030,2,2
15003009604,15,003,009604,4733,788,67,786,27,3055,10,2881,520,40,413,13,1887,8,583.35,549.07,53900,93600,00115,00117,00030,2,2
15003009701,15,003,009701,5523,1156,124,1009,34,3168,32,3507,841,79,536,26,2006,19,710.1,668.38,74450,93600,00105,00124,00030,2,2
15003009702,15,003,009702,6153,1121,45,785,18,4155,29,3979,818,30,423,12,2676,20,805.67,758.33,74450,93600,00108,00124,00030,2,2
15003009901,15,003,009901,5792,1941,97,480,32,3232,10,4297,1493,73,306,20,2402,3,870.06,818.94,74000,93510,00088,00089,00030,2,2
15003009902,15,003,009902,3956,829,17,452,20,2624,14,2661,574,11,276,10,1782,8,538.8,507.14,10750,93510,00061,00089,00030,2,2
15003010201,15,003,010201,4608,1536,55,364,47,2598,8,3106,1203,46,215,32,1606,4,628.91,591.95,12400,91710,00134,00140,00030,1,1
15003010202,15,003,010202,6926,2110,54,329,50,4366,17,4591,1565,37,184,27,2774,4,929.59,874.97,43250,91710,00150,00140,00030,2,2
15003010302,15,003,010302,3745,658,12,181,10,2880,4,2929,505,8,101,6,2306,3,593.07,558.22,28250,91800,00147,00132,00030,2,2
15003010303,15,003,010303,4660,1387,14,438,30,2779,12,3341,1062,8,270,18,1978,5,676.49,636.74,21200,91800,00138,00132,00030,1,1
15003010305,15,003,010305,4663,1409,53,489,28,2644,40,3259,1065,33,272,18,1847,24,659.89,621.11,400,91800,00138,00132,00030,2,2
15003010306,15,003,010306,6562,2674,95,330,23,3430,10,4666,2031,68,202,15,2346,4,944.78,889.26,400,91800,00135,00132,00030,2,2
15003010503,15,003,010503,2111,463,19,174,13,1438,4,1575,352,17,99,10,1093,4,318.91,300.17,28250,91800,00154,00132,00030,2,2
15003010504,15,003,010504,5373,1167,41,365,14,3777,9,3866,910,31,231,7,2684,3,782.79,736.8,28250,91800,00154,00132,00030,2,2
15003010505,15,003,010505,3612,972,21,168,7,2434,10,2828,781,18,112,7,1904,6,572.62,538.97,13900,91800,00135,00132,00030,2,2
15003010506,15,003,010506,7804,2971,166,740,31,3867,29,5514,2358,124,394,22,2600,16,1116.48,1050.88,28250,91800,00135,00132,00030,2,2
15003010601,15,003,010601,3200,696,40,261,16,2185,2,2409,556,25,166,12,1650,0,487.78,459.12,28250,91800,00156,00132,00030,2,2
15003010602,15,003,010602,5480,1402,45,376,19,3626,12,4189,1094,31,254,13,2788,9,848.2,798.35,28250,91800,00146,00132,00030,2,2
15003010701,15,003,010701,3551,1820,55,190,5,1475,6,2784,1455,37,118,4,1169,1,563.71,530.58,28250,91800,00131,00145,00030,2,2
15003010702,15,003,010702,4336,1216,15,181,9,2908,7,3370,1040,13,107,5,2202,3,682.36,642.27,28250,91800,00156,00132,00030,2,2
15003010901,15,003,010901,3208,2356,42,140,26,631,13,2326,1740,28,91,20,438,9,470.97,443.3,23150,91800,00131,00145,00030,2,2
15003010903,15,003,010903,4253,1731,121,389,20,1981,11,3128,1308,85,234,18,1474,9,633.36,596.15,23150,91800,00141,00145,00030,2,2
15003010904,15,003,010904,3391,1857,19,210,14,1276,15,2543,1424,14,129,10,957,9,514.91,484.65,23150,91800,00144,00145,00030,2,2
