GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SSCRJAC,G18SSCRANG,G18SSCDEAR,G18SACRHEA,G18SACDARR,G18SACRGRI,G18SACRRAY,G18SACDHAM,G18SACRKIT,G18SACDCOL,G18SACLMON
3705100CC16,37,051,00CC16,33,14,1076,32,1070,15,33,1056,22,1063,17
3705100CC17,37,051,00CC17,97.83,79.42,1072.63,176.28,1070.63,104.14,74.95,1057.46,153.01,1058.7,37.26
3705100CC18,37,051,00CC18,364.08,242.2,309.47,594.26,319.42,405.47,177.03,301.54,561.68,294.68,55.32
3705100CC19,37,051,00CC19,13,6,249,17,251,13,9,249,14,248,6
3705100CC21,37,051,00CC21,260,183,1079,453,1063,273,180,1035,389,1049,70
3705100CC24,37,051,00CC24,135.35,113.87,375.42,253.2,373.42,144.4,105.91,366.26,214.93,356.21,53.5
3705100CC25,37,051,00CC25,189.55,124.53,486.24,311.34,485.32,217.94,99.81,475.25,277.46,477.99,43.04
3705100CC26,37,051,00CC26,221.65,142.13,1216.58,359.8,1215.58,229.6,149.09,1189.74,316.07,1181.79,81.5
3705100CC27,37,051,00CC27,166,139,1105,296,1105,177,129,1095,267,1062,80
3705100CC29,37,051,00CC29,163,142,643,296,648,178,115,634,274,625,49
3705100CC31,37,051,00CC31,227.89,154.48,468.96,378.12,465.8,205.96,168.78,456.13,344.61,447.56,54.47
3705100CC32,37,051,00CC32,57,40,461,92,463,55,43,453,86,441,26
3705100CC33,37,051,00CC33,231,179,703,401,703,268,149,681,355,685,64
3705100CC34,37,051,00CC34,451,231,511,648,544,417,254,495,612,504,73
3705100CU02,37,051,00CU02,218.11,150.52,444.04,350.88,455.2,235.04,132.22,431.87,330.39,430.44,51.53
3705100G10A,37,051,00G10A,820.78,418.41,1216.7,1234.85,1223.98,767.31,448.47,1188.99,1131.98,1170.34,148.76
3705100G10B,37,051,00G10B,278.81,184.25,565.78,467.95,560.07,304.9,163.05,540.51,427.19,537.25,62.77
3705100G10C,37,051,00G10C,649,396,742,1014,767,641,377,723,941,712,132
3705100G11B,37,051,00G11B,159.81,118.85,418.54,259.47,431.22,159.18,115.05,416.4,219.83,405.42,70.51
3705100LI65,37,051,00LI65,568.64,425.35,549.13,992.1,552.87,634.06,348.92,527.08,930.41,542.67,83.88
3705100LR63,37,051,00LR63,222.33,137.73,1529.78,354.16,1521.91,208.56,156.42,1506.17,311.86,1495.34,84.61
3705100MB62,37,051,00MB62,112,79,908,194,903,121,85,889,166,887,48
3705100MR02,37,051,00MR02,289.15,178.67,914.61,452.64,920.5,274.85,182.36,902.65,416.68,903.9,61.69
3705100SH77,37,051,00SH77,457.17,318.55,592.85,765.89,599.73,508.3,266.44,581.05,726.56,593.83,53.09
370510G2C-1,37,051,0G2C-1,319.35,238.33,883.27,553.58,882.88,377.86,194.09,847.69,486.37,871.58,80.35
370510G2C-2,37,051,0G2C-2,372.76,252.66,782,602.29,802.46,370.98,249.1,756.2,565.82,764.21,80.96
370510G2E-1,37,051,0G2E-1,83.8,94.98,766.64,164.1,775.31,114.92,67.45,755.9,152.3,744.66,49.47
370510G2E-2,37,051,0G2E-2,84.27,59.53,921.63,153.43,911.97,87.84,73.52,899.56,129.53,892.56,44.21
370510G3A-1,37,051,0G3A-1,276.18,175.14,1096.35,448.28,1093.3,270.75,186.32,1071.31,411.19,1071.35,61.03
370510G3A-2,37,051,0G3A-2,273.93,178.06,629.88,449.73,632.2,283.94,167.45,604.06,410.92,622.53,49.57
370510G5A-1,37,051,0G5A-1,163,134,1005,275,1023,176,128,986,251,999,46
370510G5A-2,37,051,0G5A-2,257,171,777,418,780,253,183,750,387,775,41
370510G5B-1,37,051,0G5B-1,101,69,1237,167,1237,106,88,1210,153,1220,34
370510G5B-2,37,051,0G5B-2,130,87,904,207,906,132,93,887,191,882,46
370510G9B-1,37,051,0G9B-1,593.72,430.06,1057.87,988.5,1085.17,677.95,341.18,1027.29,914.62,1036.44,127.42
370510G9B-2,37,051,0G9B-2,661.64,359.13,1090.99,1009.39,1093.29,660.5,355.22,1063.72,932.7,1072.82,109.21
37051CL57-1,37,051,CL57-1,191.58,151.14,1077,344.63,1074.12,220.45,139.59,1053.9,310.93,1052.93,56.81
37051CL57-2,37,051,CL57-2,178.02,110.83,1278.5,287.73,1275.33,176.92,118.67,1261.2,257.49,1255.93,58.01
37051EO61-1,37,051,EO61-1,674.04,372.02,589.14,1024.06,596.14,696.04,347.02,545.13,987.06,578.14,58.01
37051EO61-2,37,051,EO61-2,383,226,477,607,481,419,196,458,575,472,39
37051SL78-3,37,051,SL78-3,195.73,174.25,1394.82,362.18,1396.05,222.58,156.04,1371.62,322.37,1347.65,85.23
370530000CB,37,053,0000CB,42,39,50,82,48,58,26,44,73,44,13
370530000CH,37,053,0000CH,1030.33,541.31,439.44,1572.6,465.35,1058.19,511.45,432.5,1469.37,445.36,122.18
370530000CI,37,053,0000CI,26.89,15.69,16.06,41.83,16.43,27.64,14.19,15.31,39.59,15.69,2.61
370530000CJ,37,053,0000CJ,175.78,114,122.5,286.57,132.22,184.17,103.35,121.18,270.04,120.95,25.2
370530000GW,37,053,0000GW,78.71,56.52,32.52,138.22,30.98,100.95,39.43,31.36,134.21,30.4,7.4
370530000IR,37,053,0000IR,304,186,166,499,167,321,174,159,457,161,51
370530000KI,37,053,0000KI,234,180,100,406,117,280,137,95,385,95,41
370530000MY,37,053,0000MY,1174.29,759.48,600.48,1932.78,637.02,1273.05,672.57,587.64,1772.79,590.6,191.6
370530000PB,37,053,0000PB,723,455,575,1151,609,776,398,566,1091,554,107
370530000PP,37,053,0000PP,379,220,289,582,312,377,212,287,541,287,64
370530000WH,37,053,0000WH,141,79,193,217,209,137,94,193,201,187,35
370550000EL,37,055,0000EL,17,10,9,27,9,19,10,7,24,7,4
370550000MH,37,055,0000MH,93,63,72,153,72,117,41,68,143,70,9
37055000BUX,37,055,000BUX,311,104,223,410,233,319,85,228,384,217,38
37055000COL,37,055,000COL,661.84,337.27,776.22,971.74,796.75,683.34,309.9,768.4,882.77,757.64,126.11
37055000HAT,37,055,000HAT,137,39,114,169,117,130,52,107,161,106,15
37055000KDH,37,055,000KDH,1028,478,1322,1463,1365,1015,495,1304,1334,1260,234
37055000WAN,37,055,000WAN,247,123,151,369,162,282,92,145,349,147,28
3705500AVON,37,055,00AVON,169,71,186,239,189,180,67,180,226,164,38
3705500CHCA,37,055,00CHCA,93.07,54.86,171.44,138.13,177.32,89.15,57.8,168.5,128.34,159.68,28.41
3705500DUCK,37,055,00DUCK,131,46,171,173,174,107,73,162,157,167,20
3705500FRCO,37,055,00FRCO,207,74,173,279,176,208,77,168,266,165,23
3705500KTHK,37,055,00KTHK,713.16,312.73,693.78,1001.26,718.25,700.66,315.1,685.6,925.23,668.36,116.89
3705500MATO,37,055,00MATO,1015,467,1233,1417,1292,1073,381,1224,1312,1244,134
3705500NGHD,37,055,00NGHD,540,230,725,748,738,553,216,707,709,687,91
3705500SOSH,37,055,00SOSH,842,358,928,1155,965,840,349,908,1091,885,134
3705500STPT,37,055,00STPT,49.01,29.14,31.44,74.01,38.49,58.66,27.4,27.17,65.94,40.72,7.26
37057000004,37,057,000004,1409.14,988.44,736.22,2342.07,789.78,1562.03,841.39,710.9,2273.9,728.43,130.49
37057000006,37,057,000006,639.97,482.92,232.63,1096.39,257.17,760.7,371.03,214.96,1073.82,219.87,62.82
37057000008,37,057,000008,251,147,160,387,168,260,144,148,372,157,26
37057000010,37,057,000010,540.02,419.91,322.62,952.98,336.52,664.11,304.75,304.75,903.34,313.69,63.53
37057000012,37,057,000012,200.24,142.87,81.33,333.04,91.37,232.54,110.58,79.3,324.04,79.34,19.06
37057000014,37,057,000014,501.76,353.13,134.67,828.96,149.63,623.46,235.42,123.7,825.96,138.66,22.94
37057000016,37,057,000016,768.19,566.78,272.77,1316.21,295.47,890.64,447.3,244.13,1254.99,253.99,90.85
37057000018,37,057,000018,529,341,191,857,203,577,303,169,837,177,41
37057000020,37,057,000020,683.46,497.51,227.1,1166.96,251.09,821.28,361.71,227.04,1128.99,223.05,59.01
37057000022,37,057,000022,220.73,131.31,99.78,341.11,106.72,247.84,106.22,95.81,327.05,97.73,28.02
37057000024,37,057,000024,324.24,198.41,177.48,510.56,190.6,360.28,178.29,161.45,509.36,170.45,22.33
37057000026,37,057,000026,241.95,195.59,157.61,430.46,173.63,285.01,157.6,154.53,422.46,162.54,17.13
37057000028,37,057,000028,566.9,374.29,338.55,911.4,362.38,619.52,311.74,329.61,867.72,333.59,59.57
37057000030,37,057,000030,79,63,686,136,690,85,66,665,122,670,28
37057000032,37,057,000032,135,93,274,219,281,144,91,259,204,266,28
37057000034,37,057,000034,239.98,148.37,408.27,369.44,412.26,254.92,152.36,387.36,369.44,389.35,33.86
37057000036,37,057,000036,134.77,95.45,361.33,222.18,370.35,158.86,80.37,345.32,201.14,348.32,38.1
37057000038,37,057,000038,45.07,42.38,327.41,85.4,325.5,51.19,38.24,326.4,77.41,323.46,13.02
37057000040,37,057,000040,326.97,208.34,513.38,520.36,528.33,371.83,171.46,493.44,503.41,493.44,44.86
37057000042,37,057,000042,673.96,395.37,146.29,1063.55,149.78,742.17,337.63,123.96,1043.04,130.76,39.69
37057000044,37,057,000044,1023.86,693.56,580.78,1676.93,627.22,1109.97,614.61,550.1,1642.1,586.57,78.51
37057000046,37,057,000046,645,462,287,1076,315,767,336,274,1064,286,40
37057000048,37,057,000048,633.55,405.99,238.65,1023.88,270.12,671.07,366.34,233.48,987.5,252.52,54.92
37057000050,37,057,000050,822.25,660.5,272.33,1467.38,296.55,1024.54,442.11,268.11,1427,266.6,63.32
37057000052,37,057,000052,1091.17,742.08,472.38,1814.07,491.63,1289.44,582.91,422.11,1753.63,450.2,91.78
37057000054,37,057,000054,482,318,96,793,102,566,235,93,776,95,28
37057000056,37,057,000056,353.46,210.49,91.34,560.97,103.26,410.06,159.85,80.42,544.09,83.4,31.77
37057000058,37,057,000058,750.55,546.03,380.24,1276.72,404.06,839.9,465.62,355.42,1250.91,361.37,63.54
37057000060,37,057,000060,732.86,514.17,688.08,1224.9,708.29,812.8,442.9,665.92,1176.77,674.59,79.91
37057000062,37,057,000062,105,79,413,184,404,124,73,389,182,397,15
37057000064,37,057,000064,87.53,54.71,468.49,138.26,471.47,89.52,54.71,464.51,131.3,469.48,10.94
37057000066,37,057,000066,319.98,186.68,323.81,499.56,326.5,328.17,191.82,302.02,483.36,308.99,29.97
37057000068,37,057,000068,337.77,243.46,399.24,559.21,407.25,395.81,191.4,382.23,544.19,400.22,32.05
37057000070,37,057,000070,597.47,392.29,235.51,994.74,245.53,684.48,305.29,219.49,952.7,227.52,45.06
37057000072,37,057,000072,798.17,489.85,312.01,1284.14,318.8,903.23,404.12,282.16,1254.27,286.5,67.1
37057000074,37,057,000074,904.82,585.25,329.02,1488.17,323.35,1019.22,495.43,295.93,1447.52,313.9,54.84
37057000076,37,057,000076,844.28,499.38,259.96,1320.48,274.42,889.11,441.12,247.29,1302.96,242.52,54.27
37057000078,37,057,000078,750.11,583.57,308.54,1323.6,332.6,892.13,450.53,287.53,1264.59,303.53,78.08
37057000082,37,057,000082,651,467,284,1116,289,771,363,255,1081,271,54
37057000084,37,057,000084,1228.46,869.12,779.71,2065.61,814.53,1372.78,744.39,740.46,2005.94,751.47,114.47
37057000088,37,057,000088,674,404,376,1068,385,725,362,347,1039,357,50
3705700080A,37,057,00080A,1456,906,529,2331,559,1604,773,486,2258,516,110
3705700086A,37,057,00086A,668.31,396.57,666.41,1052.29,684.51,704.2,370.83,652.71,1006.49,637.76,81.55
37059000001,37,059,000001,318,172.39,143.82,486.11,152.2,356.08,132.4,134.65,474.87,136.81,23.61
37059000002,37,059,000002,283.89,139.87,117.95,413.52,131.94,291.44,135.7,110.43,403.85,116.58,24.12
37059000003,37,059,000003,749.33,380.14,263.71,1122.5,272.66,820.97,313.46,244.8,1080.7,247.79,60.7
37059000004,37,059,000004,388.39,204.34,207.91,585.31,213.08,421.31,185.95,181.43,576.21,198.77,23.2
37059000005,37,059,000005,803.03,369.07,321.55,1152.05,338.61,830.39,335.72,301.46,1109.81,315.47,62.35
37059000006,37,059,000006,447.82,229.5,219.21,647.56,239.49,458.4,215.2,212.21,642.08,213.24,34.36
37059000007,37,059,000007,507.87,225.05,228.69,725.2,233.48,562.27,183.55,210.62,694.11,222.3,48.84
37059000008,37,059,000008,498.31,238.79,539.43,734.5,536.9,520.68,236.71,507.12,699.31,514.24,56.43
37059000009,37,059,000009,564.99,259.02,367.98,820.88,376.07,607.03,228.96,346.95,791.85,350.95,51.15
37059000010,37,059,000010,690.56,412.17,406.27,1091.91,416.11,765.32,328.56,395.45,1059.45,363.97,80.66
37059000011,37,059,000011,508.36,272.01,169.62,785,173.76,569.54,218.69,152.78,742.61,156.76,42.66
37059000012,37,059,000012,1113.94,510.46,507.57,1597.68,538.24,1063.49,563.87,480.86,1514.59,510.54,105.84
37059000013,37,059,000013,993.59,418.83,614.74,1372.43,655.73,961.6,453.81,590.75,1340.44,626.74,63.97
37059000014,37,059,000014,544.46,302.52,284.75,827.33,303.57,591.47,265.22,259.8,802.59,275.97,41.71
3706100ALBE,37,061,00ALBE,366.27,121.77,115.92,487.06,128.58,354.58,137.35,114.95,473.42,123.71,14.61
3706100BEUL,37,061,00BEUL,846,260,277,1122,285,844,271,274,1092,276,34
3706100CALY,37,061,00CALY,227.23,85.38,110.47,301.57,115.48,206.28,101.32,105.47,291.44,115.45,11.19
3706100CFRK,37,061,00CFRK,237,67,47,305,52,233,73,46,300,49,8
3706100CHAR,37,061,00CHAR,174.83,74.93,405.61,240.77,410.6,176.83,69.93,408.6,234.77,409.6,8.99
3706100CHIN,37,061,00CHIN,240,81,124,321,138,232,96,128,308,139,12
3706100CYCK,37,061,00CYCK,412.97,141.99,99.99,551.96,105.99,430.97,121.99,99.99,549.96,103.99,6
3706100FAIS,37,061,00FAIS,271.9,82.31,303.26,352.17,311.28,230.78,131.39,299.26,337.15,300.27,25.03
3706100GLIS,37,061,00GLIS,205,81,53,286,52,202,85,47,270,54,11
3706100HALL,37,061,00HALL,296,94,246,381,260,286,105,246,374,253,19
3706100KENA,37,061,00KENA,561,191,858,729,888,470,315,832,717,864,40
3706100LOCK,37,061,00LOCK,97.17,33.07,44.39,135.23,46.4,111.17,23.07,44.4,133.23,44.4,4.01
3706100MAGN,37,061,00MAGN,211.17,66.66,371.75,269.78,375.83,196.69,80.29,369.57,261.51,372.78,15.28
3706100ROCK,37,061,00ROCK,167.28,63.99,173.68,224.87,177.33,167.28,63.07,176.42,220.3,176.42,9.14
3706100ROSE,37,061,00ROSE,332,82,390,404,399,299,108,388,388,398,15
3706100SMCA,37,061,00SMCA,314.61,110.51,131.42,429.11,137.4,302.67,129.43,124.45,415.17,132.42,18.92
3706100WALL,37,061,00WALL,852.01,324.72,1071.34,1162.68,1112.4,800.14,387.6,1072.35,1120.64,1095.34,58.08
3706100WARS,37,061,00WARS,405.33,149.95,1011.47,535.19,1023.54,323.56,254.8,996.39,515.04,1013.61,39.1
3706100WOLF,37,061,00WOLF,430.06,148.68,136.7,559.78,149.67,375.18,189.59,136.7,549.8,144.69,13.97
37063000001,37,063,000001,52,15,726,59,725,47,26,712,57,712,16
37063000002,37,063,000002,82,39,1711,108,1720,77,76,1667,92,1676,57
37063000003,37,063,000003,97,27,1444,109,1456,78,54,1427,101,1429,31
37063000004,37,063,000004,99,37,1091,126,1092,89,53,1069,115,1068,32
37063000005,37,063,000005,149,68,1952,181,1982,140,96,1921,158,1915,82
37063000006,37,063,000006,65,31,1199,88,1199,68,35,1179,84,1174,23
37063000007,37,063,000007,91,24,1431,105,1422,69,56,1404,92,1393,49
37063000008,37,063,000008,47,31,1418,65,1422,47,44,1404,58,1387,50
37063000009,37,063,000009,157.86,86.38,1599.48,216.44,1621.32,164.81,76.45,1589.55,205.52,1579.62,46.66
37063000010,37,063,000010,35.14,10.62,849.52,38.56,850.68,25.19,26.55,838.45,32.48,836.38,22.34
37063000012,37,063,000012,17.3,5.18,332.29,22.36,330.35,11.28,13.28,327.14,12.34,322.2,16.17
37063000013,37,063,000013,12,7,422,21,415,10,12,410,16,414,8
37063000014,37,063,000014,63,36,883,92,887,66,35,882,77,875,29
37063000015,37,063,000015,35,15,605,54,598,38,19,590,42,593,16
37063000016,37,063,000016,186,66,1221,232,1223,159,111,1186,211,1193,53
37063000017,37,063,000017,58.7,34.82,1613.71,69.64,1626.65,54.72,54.72,1584.86,66.66,1597.8,33.83
37063000018,37,063,000018,35,22,888,54,886,37,22,880,44,871,24
37063000019,37,063,000019,113,70,1678,178,1677,129,66,1659,167,1651,43
37063000020,37,063,000020,51,27,1351,61,1351,40,42,1331,65,1318,35
37063000021,37,063,000021,94,40,1126,124,1130,99,48,1105,124,1106,23
37063000022,37,063,000022,72,48,2288,110,2280,71,71,2245,93,2252,48
37063000023,37,063,000023,279.44,118.86,3258.16,366.85,3252.05,277.15,164.89,3188.09,342.27,3193.87,83.83
37063000024,37,063,000024,527,218,1754,718,1752,507,258,1700,684,1730,60
37063000025,37,063,000025,581.34,264.77,892,828.81,902.71,606.85,254.86,851.73,806.62,868.99,50.98
37063000026,37,063,000026,413.87,194.43,468.98,596.97,477.79,453.69,159.85,452.78,564.39,464.11,36.93
37063000027,37,063,000027,390.2,125.74,1626.66,471.03,1661.59,336.31,189.61,1602.71,446.08,1617.68,73.85
37063000028,37,063,000028,929.67,423.51,1226.26,1293.72,1273,997.56,357.83,1190.18,1265.77,1209.37,86.93
37063000029,37,063,000029,499.66,235.56,1541.94,722.36,1544.02,544.78,185.55,1523.29,697.86,1510.64,59.82
37063000031,37,063,000031,492,250,2229,702,2250,491,287,2161,638,2185,132
37063000032,37,063,000032,1042.43,466.08,1578.19,1460.24,1614.88,1086.76,449.74,1531.87,1410.97,1564.69,107.19
37063000033,37,063,000033,667.34,367.58,3712.52,988.47,3736.83,686.13,398.08,3629.11,883.69,3658.39,185.38
37063000036,37,063,000036,139,61,1533,179,1546,137,73,1516,159,1516,52
37063000037,37,063,000037,913.03,357.91,2431.48,1238.22,2438.72,937.63,374.4,2353.85,1208.33,2383.33,94.03
37063000038,37,063,000038,495,190,3092,609,3157,448,257,3046,566,3042,156
37063000039,37,063,000039,544,171,1779,670,1811,504,226,1738,643,1765,76
37063000040,37,063,000040,89,31,1258,105,1268,70,68,1235,89,1240,41
37063000041,37,063,000041,13,5,830,18,835,12,10,829,10,825,10
37063000042,37,063,000042,14,8,694,20,692,12,18,679,8,683,15
37063000043,37,063,000043,698,293,3598,905,3670,647,351,3554,856,3589,124
37063000044,37,063,000044,1236.62,462.77,2850.68,1656.05,2863.83,1222.79,522.27,2753.68,1576.24,2794.64,147.89
37063000045,37,063,000045,884.68,395.24,2300.49,1232.23,2330,909.37,395.69,2231.71,1180.3,2257.66,126.4
37063000046,37,063,000046,223,94,1560,299,1565,217,118,1526,274,1536,56
37063000047,37,063,000047,33,15,977,37,975,31,18,972,37,958,25
37063000048,37,063,000048,157,74,1024,207,1043,137,94,1006,192,1006,46
37063000050,37,063,000050,340.57,168.4,1983.99,472.61,2006.41,338.69,189.41,1938.78,437.09,1961.93,80.96
37063000051,37,063,000051,444,206,3282,572,3347,403,280,3228,510,3273,140
37063000052,37,063,000052,106,63,1651,164,1637,109,57,1635,142,1625,37
37063000054,37,063,000054,370,198,3805,534,3809,352,279,3716,460,3721,164
370630030-1,37,063,0030-1,863,371,4509,1188,4520,869,395,4445,1077,4404,236
370630030-2,37,063,0030-2,404,239,3825,601,3838,432,228,3778,557,3755,138
370630034-1,37,063,0034-1,148,94,1752,213,1772,142,101,1735,179,1723,78
370630034-2,37,063,0034-2,188,83,2896,244,2905,184,122,2837,192,2859,92
370630035.3,37,063,0035.3,869,413,4905,1177,4976,848,447,4840,1091,4835,218
370630053-1,37,063,0053-1,287,131,1697,388,1715,264,192,1656,352,1687,69
370630053-2,37,063,0053-2,418.02,164.01,2276.09,521.02,2326.09,389.02,212.01,2243.09,488.02,2252.09,98
37063055-11,37,063,055-11,10.65,9.68,841.53,16.46,839.6,11.62,18.4,825.07,15.49,823.14,20.34
37063055-49,37,063,055-49,18.35,5.32,1066.47,19.54,1066.4,11.38,16.6,1059.93,18.51,1036.86,37.66
37065000101,37,065,000101,83.95,51.08,976.59,133.79,967.83,91.32,52.56,960.71,114.83,967.68,29.1
37065000102,37,065,000102,405,210,862,595,879,440,182,836,580,864,25
37065000103,37,065,000103,419,224,562,625,586,478,161,565,619,557,28
37065000104,37,065,000104,344,174,631,502,643,384,128,622,475,649,22
37065000201,37,065,000201,152,124,308,268,313,210,57,314,270,305,10
37065000301,37,065,000301,58,30,126,79,137,71,19,127,74,138,5
37065000401,37,065,000401,72.73,40.73,171.65,105.7,178.44,85.34,24.24,173.59,104.73,173.59,6.79
37065000501,37,065,000501,67.97,54.12,141.04,120.13,141.98,94.47,29.62,140.98,115.15,144.92,5.01
37065000601,37,065,000601,84.36,48.67,370.13,129.1,370.23,106.94,28.08,362.31,122.28,367.28,8.81
37065000701,37,065,000701,126.13,72.92,630.65,195.11,632.62,143.87,58.14,623.76,192.15,631.64,4.93
37065000801,37,065,000801,248.59,137.77,272.55,380.37,280.54,293.51,92.85,266.56,371.39,270.55,16.97
37065000901,37,065,000901,263.94,153.48,160.49,406.29,169.51,311.77,98.77,161.28,396.06,168.48,14.42
37065001001,37,065,001001,329.99,191.99,565.98,502.98,579.98,383.99,131,562.98,483.98,582.98,25
37065001101,37,065,001101,161,119,240,287,235,224,62,231,287,230,7
37065001201,37,065,001201,51,38,1847,80,1848,56,43,1828,67,1838,26
37065001202,37,065,001202,15.89,11.67,769.07,22.28,768.34,12.99,19.55,757.02,19.97,766.12,7.45
37065001203,37,065,001203,429.49,267.58,807.59,676.71,826.98,509.95,186.14,803.71,654.41,811.47,32.96
37065001204,37,065,001204,32.83,19.83,904.21,43.24,906.3,37.16,21.48,891.09,45.8,888.28,11.66
37065001205,37,065,001205,7.8,2.93,502.13,8.78,492.38,3.9,6.83,500.18,6.83,502.13,2.93
37065001301,37,065,001301,223.03,150.02,208.04,377.05,212.04,272.04,105.01,203.04,366.04,212.04,13
37065001401,37,065,001401,240,138,84,376,86,278,97,83,371,82,10
37067000011,37,067,000011,929,537,1215,1447,1233,932,545,1162,1364,1112,194
37067000012,37,067,000012,704.2,367.03,365.07,1045.14,387.09,688.62,361.64,361.9,998.72,366.78,72.72
37067000013,37,067,000013,775.83,445.9,907.8,1189.74,940.79,794.83,431.91,883.81,1108.76,869.81,142.97
37067000014,37,067,000014,536,271,380,798,390,529,284,356,749,349,73
37067000015,37,067,000015,564,281,517,838,518,538,297,492,781,491,79
37067000021,37,067,000021,919.46,566.05,452.24,1466.54,470.21,996.33,469.21,423.29,1386.67,417.3,124.79
37067000031,37,067,000031,396.46,272.63,488.33,655.1,500.31,445.39,229.68,471.35,630.14,466.36,56.92
37067000032,37,067,000032,574,398,603,967,617,643,333,587,910,584,81
37067000033,37,067,000033,300.09,222.52,772.92,515.58,767.93,338.94,178.75,758.82,489.37,754.71,52.41
37067000034,37,067,000034,444.54,310.37,432.67,725.9,456.69,490.61,266.32,425.65,695.86,417.64,71.08
37067000042,37,067,000042,436.95,372.33,982.71,803.04,984.01,533.52,274.81,957.33,747.24,933.46,97.2
37067000043,37,067,000043,428.8,309.52,620.03,729.45,622,472.17,269.11,602.29,686.07,590.46,73.93
37067000051,37,067,000051,580,401,692,960,720,629,348,673,890,670,122
37067000052,37,067,000052,292,152,334,441,333,273,169,314,405,315,51
37067000053,37,067,000053,548.89,343.21,469.94,870.3,488.35,562.76,302.23,457.45,808.82,449.06,89.56
37067000054,37,067,000054,686.25,379.87,692.3,1036.55,709.78,642.57,398.82,663.98,947.93,672.76,112.36
37067000055,37,067,000055,836,465,874,1274,896,838,457,844,1187,846,135
37067000061,37,067,000061,461,207,479,659,486,441,228,465,612,469,64
37067000062,37,067,000062,460,303,424,752,433,509,257,400,712,401,68
37067000063,37,067,000063,887.68,524.87,718.8,1388.32,748.03,931.27,473.17,690.62,1310.77,699.7,107.86
37067000064,37,067,000064,239,139,268,372,275,248,139,257,363,247,36
37067000065,37,067,000065,989.32,499.13,836.2,1448.68,874.97,917.73,551.83,803.38,1353.23,818.3,149.14
37067000066,37,067,000066,493.11,301.05,395.08,793.15,392.08,523.11,260.05,383.07,741.14,381.07,64.01
37067000067,37,067,000067,320,184,410,491,410,323,171,393,467,368,66
37067000068,37,067,000068,607,399,510,970,545,612,369,500,894,492,120
37067000071,37,067,000071,752,493,914,1217,930,770,463,869,1127,873,141
37067000072,37,067,000072,1142,667,1344,1779,1367,1188,634,1293,1668,1277,184
37067000073,37,067,000073,834.15,490.39,596.39,1285.91,630.07,861.89,427.97,599.36,1203.68,593.42,117.89
37067000074,37,067,000074,565,335,908,877,928,566,358,862,813,850,146
37067000075,37,067,000075,191.75,118.33,128.2,301.81,135.43,211.81,103.9,116.33,284.23,116.28,31.77
37067000081,37,067,000081,356,252,1113,589,1125,370,229,1101,558,1083,71
37067000082,37,067,000082,561.17,415.1,1531.2,953.26,1532.21,645.17,334.09,1513.19,900.24,1482.19,112.03
37067000083,37,067,000083,185,142,725,326,722,235,99,709,308,700,40
37067000091,37,067,000091,479.02,378.99,322.92,851.91,341.74,613.57,230.68,318.05,813.61,311.12,56.09
37067000092,37,067,000092,472.69,279.04,294.93,735.84,308.83,487.58,266.13,277.06,697.11,289.97,57.6
37067000101,37,067,000101,347.45,202.93,707.76,536.51,705.78,330.62,209.85,677.08,497.91,669.16,73.25
37067000111,37,067,000111,442,316,246,748,261,487,248,233,718,225,67
37067000112,37,067,000112,616.54,406.95,512.76,1010.46,518.79,675.67,336.79,496.71,967.33,479.7,83.21
37067000122,37,067,000122,704.86,505.52,2020.48,1197.22,2028.82,768.06,445.21,1983.42,1086.06,1940.17,183.66
37067000123,37,067,000123,460,287,850,728,863,482,276,824,696,814,79
37067000131,37,067,000131,649.75,412.21,895.28,1043.99,915.24,673.7,377.27,865.34,967.14,856.35,123.76
37067000132,37,067,000132,803.55,485.07,1131.24,1256.49,1158.22,786.38,504.15,1083.92,1170.09,1082.84,157.75
37067000133,37,067,000133,1325.39,827.96,1439.36,2114,1472.89,1392.88,757.39,1385.67,1949.38,1367.21,258.03
37067000201,37,067,000201,170,102,1695,241,1714,153,119,1687,217,1670,80
37067000203,37,067,000203,27,6,668,14,670,12,9,669,14,664,12
37067000204,37,067,000204,23,14,614,34,617,23,15,615,30,595,28
37067000205,37,067,000205,11,4,360,18,357,9,5,358,10,351,7
37067000206,37,067,000206,56,43,748,83,753,59,32,749,75,730,33
37067000207,37,067,000207,116.91,55.48,851.08,169.42,852.07,101.06,80.25,840.18,147.63,828.29,44.59
37067000301,37,067,000301,8,5,312,12,306,5,6,309,8,295,14
37067000302,37,067,000302,13.81,7.89,404.34,16.77,399.41,11.83,7.89,397.44,17.75,391.52,9.86
37067000303,37,067,000303,7.89,1.97,255.32,10.84,256.3,13.8,0.99,255.32,6.9,254.33,5.91
37067000304,37,067,000304,31.11,16.03,1357.68,46.16,1347.7,19.2,26.01,1345.68,40.1,1323.67,30.09
37067000305,37,067,000305,18,14,740,20,753,15,9,748,20,737,21
37067000306,37,067,000306,50.19,45.11,536.66,84.23,550.59,55.17,28.11,542.56,76.25,529.48,27.14
37067000401,37,067,000401,62.99,38.44,823.68,97.61,809.23,68.71,43.04,806.86,80.84,807.64,21.04
37067000402,37,067,000402,14,5,519,17,513,10,4,510,15,493,14
37067000403,37,067,000403,23,13,608,44,606,24,24,600,30,592,24
37067000404,37,067,000404,123.25,60.63,951.22,162.02,955.19,92.44,96.41,918.42,134.18,900.53,82.5
