GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREIWES,G20PREOOTH,G20PREOSAN,G20PREOWRI,G20HALDWEL,G20HALDRBE,G20HALCHEL,G20HALIBEC,G20HALIHOR,G20HALIORR,G20HALITRU,G20HALOWRI,G20GOVDZUC,G20GOVRSCO,G20GOVIHOY,G20GOVTPEY,G20GOVIWHI,G20GOVIBIL,G20GOVIDEV,G20GOVUDIC,G20GOVOWRI,G20LTGDGRA,G20LTGRMIL,G20LTGPERI,G20LTGIBIL,G20LTGBCOR,G20LTGOWRI,G20ATGDDON,G20ATGRPAI,G20ATGPERI,G20ATGOWRI,G20SOSDCON,G20SOSRPAI,G20SOSPERI,G20SOSISMI,G20SOSOWRI,G20TREDPEA,G20TRERBRA,G20TREPERI,G20TREIWRI,G20TREOWRI,G20AUDOHOF,G20AUDPERI,G20AUDOWRI
50027502705,50,027,502705,372,212,5,2,5,4,1,0,371,177,1,25,3,8,2,1,138,433,3,7,2,2,0,3,5,262,306,11,6,2,2,347,186,35,0,308,200,22,30,2,291,214,28,26,0,436,85,3
50027502706,50,027,502706,463.01,295.09,7.95,4.97,1.99,7.95,0.99,4.97,438.17,263.3,4.97,16.89,7.95,24.84,5.96,0,175.86,561.37,8.94,16.89,6.96,0.99,0.99,0.99,1.99,316.95,396.44,34.78,11.92,6.96,0,413.33,268.27,62.6,0,376.56,272.24,54.65,49.68,0,353.71,294.1,67.56,32.79,0,485.86,189.77,3.97
50027502707,50,027,502707,1064.28,604.97,17.59,4.89,5.86,15.64,8.79,9.77,1034.97,498.45,2.93,55.71,20.52,68.4,1.96,3.91,418.29,1174.73,31.27,48.86,14.66,0.98,9.77,1.96,1.96,760.34,801.4,88.93,25.41,10.75,5.86,982.19,532.65,125.09,1.95,877.61,543.4,126.07,105.55,0.98,807.26,588.35,159.3,83.07,0.98,1176.66,367.48,11.73
50027502708,50,027,502708,1040.27,413.72,9.95,3.98,2.98,11.93,5.97,8.95,1025.35,364.99,9.95,22.87,10.94,14.92,3.98,2.98,362,1068.11,11.93,10.94,5.97,2.98,5.97,6.96,4.97,782.69,626.55,30.83,12.93,2.98,1.99,922.91,413.72,58.68,0.99,876.17,405.76,40.78,71.61,0.99,820.48,463.45,39.78,56.69,0.99,1031.32,191.94,5.97
50027502709,50,027,502709,3432.26,1145.76,36.59,12.86,12.85,47.46,2.99,15.85,3365.03,947.99,60.29,85.05,55.36,25.75,19.77,4.95,1561.24,2856.67,52.4,48.45,33.61,14.83,23.73,18.8,13.85,2578.65,1755.21,125.58,56.36,20.75,6.92,3070.2,1057.87,243.24,18.77,2845.78,1085.48,185.87,280.84,4.94,2778.33,1167.75,213.52,216.57,4.94,3237.67,768.33,20.77
50027502710,50,027,502710,1554.42,645.47,20.46,7.16,4.16,19.6,1.04,5.2,1555.57,524.98,13.76,30.08,37.7,13.32,5.25,3.06,641.74,1485.13,24.66,22.61,6.42,2.19,6.3,19.24,7.18,1191.62,921.19,35.59,26.71,8.26,6.09,1396.84,584.36,105.07,5.24,1277,606.72,87.35,149.55,1.06,1237.15,646.76,98.7,115.74,3.06,1569.95,349.71,10.26
50027502711,50,027,502711,720.16,473.89,13.06,10,5.01,14.04,2.01,2.02,711.1,362.78,14.02,45.16,8.03,48.09,4.01,1,296.76,867.33,17.03,15.01,6.03,5,2.01,5.03,3,514.55,616.55,45.03,20.03,6.02,3,657.98,395.99,95.18,2,588.8,403.06,94.19,75.13,0,573.61,437.15,98.24,44.14,1,795.16,251.56,5.03
50027502712,50,027,502712,2316,211,13,8,6,11,2,3,2266,193,22,16,5,2,2,4,1143,1307,4,9,7,2,1,9,8,1976,424,42,11,3,1,2010,234,97,5,1995,244,56,67,3,1894,296,80,49,3,1837,288,6
50027502713,50,027,502713,249.09,103.3,6.94,0,1,4.96,0.99,1.98,243.13,90.38,1.98,18.86,2.98,9.92,0.99,0,87.35,268.98,3.97,1,2.98,0,0.99,2.98,0,179.62,178.69,3.98,3.97,1.99,0,228.25,114.18,20.85,0,207.41,122.12,21.83,14.89,0,185.6,133.03,27.79,15.88,0,250.15,64.51,2.98
50027502714,50,027,502714,509,146,4,4,4,5,1,6,511,125,3,18,4,1,3,1,188,469,4,0,1,1,2,0,4,388,265,4,4,1,1,482,135,29,1,437,140,26,35,0,407,152,51,26,0,506,81,1
