GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOTH,G16USSDWIE,G16USSRMOR,G16USSLGAR,G16USSOTH
20091921080,20,091,921080,0,0,0,0,0,0,0,0,0
20093000010,20,093,000010,6,187,4,5,1,38,197,13,0
20093000020,20,093,000020,4,53,0,0,0,1,53,3,0
20093000030,20,093,000030,2,50.9,1,0,0,2,46.9,1,0
20093000040,20,093,000040,1,26,0,0,0,1,25,1,0
20093000050,20,093,000050,70.2,319.2,16.8,2,9.8,45.5,351.8,15.8,0
20093000060,20,093,000060,64,255.6,13,3,2,54,266.6,10,0
20093000070,20,093,000070,19.8,85.8,5.2,1,0.2,14.5,91.2,5.2,0
20093000080,20,093,000080,7,76.4,0,1,0,5,76.4,2,0
20093000090,20,093,000090,0,21,1,1,0,0,24,0,0
20095000010,20,095,000010,4.8,36.2,1.9,5.7,0,8.6,35.3,5.7,0
20095000020,20,095,000020,5,19,0,1,0,6,19,0,0
20095000030,20,095,000030,62,207,7,2,0,52,210,21,0
20095000040,20,095,000040,4,42,0,0,0,1,44,0,0
20095000050,20,095,000050,8,35,2,1,0,9,41,1,0
20095000060,20,095,000060,14,58,1,1,0,10,62,5,0
20095000070,20,095,000070,32,122,3,8,0,31,127,12,0
20095000080,20,095,000080,5.2,39.8,5.1,2.3,0,4.4,44.7,4.3,0
20095000090,20,095,000090,5,48,4,0,0,4,48,5,0
20095000100,20,095,000100,27,217,10,2,0,24,226,15,0
20095000110,20,095,000110,13,96,5,1,0,17,92,8,0
20095000120,20,095,000120,13,51,0,2,0,5,56,8,0
20095000130,20,095,000130,5,45,2,0,0,4,42,4,0
2009500014A,20,095,00014A,80.7,215.3,12,5,5,50.8,247.2,12,0
20095000150,20,095,000150,119.3,326.2,24.1,13,10,94.2,354.4,28,0
20095000160,20,095,000160,32.2,129.9,4.1,4,5,23.1,134,7,0
20095000170,20,095,000170,38,155.5,12,8,2,36,162.5,19,0
20095000180,20,095,000180,6,42,0,0,0,4,40,6,0
20095000190,20,095,000190,10.8,121.2,5.9,3.9,0,5.9,132.1,3,0
20095000200,20,095,000200,4,44,1,0,0,7,43,0,0
20095000210,20,095,000210,3,46,0,0,0,1,46,3,0
20095000220,20,095,000220,15,53,8,2,0,20,59,3,0
20095000230,20,095,000230,27,97,3,3,0,25,96,9,0
20095000240,20,095,000240,8,23,0,0,0,5,27,1,0
20095000250,20,095,000250,11,41,0,0,0,8,42,1,0
20095000260,20,095,000260,22,95,1,2,0,19,98,2,0
2009500027A,20,095,00027A,22.2,117.2,1.6,1.8,0,13.8,124,2.8,0
2009500027B,20,095,00027B,0,0,0,0,0,0,0,0,0
2009500027C,20,095,00027C,1.7,7.7,0.4,0.2,0,1.1,8.8,0.2,0
20097000010,20,097,000010,2.2,22.5,1.1,0,0,1.1,24.6,0.1,0
20097000020,20,097,000020,34.8,252.4,13.9,4,0,22.9,268.3,12.9,0
20097000030,20,097,000030,27,147,10,5,1,20,166,4,0
20097000040,20,097,000040,34,303,14,5,4,26,313,18,0
20097000050,20,097,000050,16,175,5,2,0,13,178,12,0
2009900001A,20,099,00001A,0,0,0,0,0,0,0,0,0
20099000020,20,099,000020,15,99,1,2,0,19,90,7,0
20099000030,20,099,000030,38,65.5,5,2.1,0,44.1,60.5,1.2,0
20099000040,20,099,000040,29.2,80.4,7,2,0,33.2,74.4,6,0
20099000050,20,099,000050,30,112,5,3,0,36,96,9,0
20099000060,20,099,000060,55,315,10,10,0,60,308,23,0
20099000070,20,099,000070,12,84,4,2,0,15,81,2,0
20099000080,20,099,000080,24,124,5,3,0,22,128,8,0
20099000090,20,099,000090,29,135,4,2,0,33,127,11,0
20099000100,20,099,000100,26,158,3,5,4,34,155,11,0
20099000110,20,099,000110,38,143,7,4,1,39,138,15,0
20099000120,20,099,000120,10,69,0,1,0,12,64,2,0
20099000130,20,099,000130,46,273,10,10,0,56,256,30,0
20099000140,20,099,000140,120,420,30,14,0,128,416,32,0
20099000150,20,099,000150,28,57,1,0,0,34,44,3,0
2009900016A,20,099,00016A,87.7,215.7,10.1,9,0,87,210.3,21,0
2009900016B,20,099,00016B,0,0,0,0,0,0,0,0,0
2009900016C,20,099,00016C,0,0,0,0,0,0,0,0,0
20099000170,20,099,000170,70,237,7,8,0,71,222,22,0
20099000180,20,099,000180,58.7,189.1,10.1,4,0,58.6,174.1,24.2,0
2009900019A,20,099,00019A,54,179.2,7,3,1,52,160.2,22,0
20099000200,20,099,000200,47.1,128.3,11,3,3,39.1,126.3,18,0
20099000210,20,099,000210,21.2,97.4,2.9,1,1,19.3,97.4,5.8,0
20099000220,20,099,000220,110.3,177.8,15,14,1,107.3,204.7,13.1,0
2009900022A,20,099,00022A,0,0,0,0,0,0,0,0,0
20099000230,20,099,000230,59,93,6,2,0,59,84,12,0
2009900024A,20,099,00024A,54.4,68.7,4.1,2.1,0,60.9,55.1,7.2,0
20099000250,20,099,000250,36,58,4,4,0,40,59,6,0
20099000260,20,099,000260,125,110,21,7,0,122,125,23,0
2009900027A,20,099,00027A,144,128.1,17,5,0,123,155.1,23,0
2009900027B,20,099,00027B,0,0,0,0,0,0,0,0,0
