GEOID,area_land,area_water,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREADEL,G20USSDGID,G20USSRCOL,G20USSISAV,G20USSILIN
230010105002020,8627,0,5,5,0,0,0,4,5,1,0
230010105002021,6687,0,9,8,0,0,0,7,9,1,0
230010105002022,8539,0,7,6,0,0,0,6,7,1,0
230010105002023,8733,0,1,1,0,0,0,1,1,0,0
230010105002024,8675,0,6,5,0,0,0,5,6,1,0
230010105002025,8746,0,0,0,0,0,0,0,0,0,0
230010105002026,34285,0,13,11,1,0,0,10,13,1,1
230010105002027,10837,0,4,4,0,0,0,3,4,0,0
230010105002028,8733,0,93,84,4,2,0,74,95,11,5
230010105002029,89987,0,13,12,1,0,0,10,13,1,1
230010105002030,8572,0,3,3,0,0,0,2,3,0,0
230010106001000,300,1031,13,12,1,0,0,10,13,1,1
230010106001001,0,453924,40,40,2,1,0,31,45,4,2
230010106001002,233286,0,2,2,0,0,0,2,2,0,0
230010106001003,515668,0,4,4,0,0,0,3,4,0,0
230010106001004,167009,0,3,2,0,0,0,2,3,0,0
230010106001005,221900,0,0,0,0,0,0,0,0,0,0
230010106001006,30475,0,15,14,1,0,0,12,16,2,1
230010106001007,17147,0,1,1,0,0,0,1,1,0,0
230010106001008,317712,0,10,9,0,0,0,8,10,1,1
230010106001009,2299040,9246,0,0,0,0,0,0,0,0,0
230010106001010,320860,0,0,0,0,0,0,0,0,0,0
230010106001011,2373488,5118,0,0,0,0,0,0,0,0,0
230010106001012,181900,0,4,3,0,0,0,3,4,0,0
230010106001013,5794541,17740,0,0,0,0,0,0,0,0,0
230010106001014,1812826,2452,0,0,0,0,0,0,0,0,0
230010106001015,457601,0,0,0,0,0,0,0,0,0,0
230010106001016,81644,0,35,32,2,1,0,28,36,4,2
230010106001017,1149475,0,0,0,0,0,0,0,0,0,0
230010106001018,5824863,140221,50,45,2,1,0,40,52,6,3
230010106001019,1043678,4898,14,13,1,0,0,11,14,2,1
230010106001020,40686,0,10,9,0,0,0,8,10,1,1
230010106001021,124319,0,7,6,0,0,0,6,7,1,0
230010106001022,968307,0,7,7,0,0,0,6,8,1,0
230010106001023,27136,0,0,0,0,0,0,0,0,0,0
230010106001024,6023,0,7,6,0,0,0,5,7,1,0
230010106001025,45267,0,3,3,0,0,0,3,3,0,0
230010106001026,885094,0,23,21,1,0,0,18,24,2,1
230010106001027,14721,0,10,10,0,0,0,8,11,1,0
230010106001028,48355,0,44,42,2,1,0,35,48,4,2
230010106001029,2048289,0,13,12,1,0,0,11,14,2,1
230010106001030,465918,0,5,4,0,0,0,4,5,0,0
230010106001031,4234786,6103,22,21,1,0,0,18,24,2,1
230010106001032,48472,0,6,5,0,0,0,5,6,1,0
230010106001033,78940,0,110,103,4,2,1,87,118,10,5
230010106001034,29986,0,12,11,0,0,0,9,13,1,0
230010106001035,172011,0,16,15,1,0,0,13,17,1,1
230010106001036,581527,0,0,0,0,0,0,0,0,0,0
230010106001037,13638,0,10,10,0,0,0,8,11,1,0
230010106001038,17406,0,7,7,0,0,0,6,8,1,0
230010106001039,275192,0,77,72,3,1,1,61,83,7,3
230010106001040,11152,0,7,7,0,0,0,6,8,1,0
230010106001041,155371,0,0,0,0,0,0,0,0,0,0
230010106001042,414420,0,11,10,0,0,0,8,11,1,0
230010106001043,24596,0,4,4,0,0,0,3,4,0,0
230010106001044,17463,0,7,6,0,0,0,5,7,1,0
230010106001045,2979,0,8,7,0,0,0,6,8,1,0
230010106001046,10220,0,16,15,1,0,0,13,17,1,1
230010106001047,402224,0,0,0,0,0,0,0,0,0,0
230010106001048,63660,0,6,5,0,0,0,5,6,1,0
230010106001049,287249,0,0,0,0,0,0,0,0,0,0
230010106001050,471157,0,5,4,0,0,0,4,5,0,0
230010106001051,46342,0,0,0,0,0,0,0,0,0,0
230010106001052,78831,0,17,16,1,0,0,13,18,2,1
230010106001053,251277,0,5,5,0,0,0,4,5,0,0
230010106001054,19181,0,6,5,0,0,0,5,6,1,0
230010106001055,944278,0,12,11,0,0,0,9,12,1,0
230010106001056,85924,0,5,5,0,0,0,4,6,0,0
230010106001057,968437,0,4,4,0,0,0,3,4,0,0
230010106001058,368995,0,0,0,0,0,0,0,0,0,0
230010106001059,301250,0,3,3,0,0,0,3,4,0,0
230010106001060,234539,0,0,0,0,0,0,0,0,0,0
230010106001061,28981,0,50,47,2,1,0,40,54,5,2
230010106001062,2258447,0,7,7,0,0,0,6,8,1,0
230010106001063,1087662,0,0,0,0,0,0,0,0,0,0
230010106001064,1713389,0,5,5,0,0,0,4,5,1,0
230010106001065,2251199,0,33,30,2,1,0,26,34,4,2
230010106001066,5591363,0,15,13,1,0,0,12,15,2,1
230010106001067,273190,0,0,0,0,0,0,0,0,0,0
230010106002000,0,223406,62,55,3,2,0,49,63,7,3
230010106002001,96731,0,86,77,4,2,0,68,88,10,5
230010106002002,2183055,0,31,28,1,1,0,25,32,4,2
230010106002003,24666,0,0,0,0,0,0,0,0,0,0
230010106002004,24680,0,0,0,0,0,0,0,0,0,0
230010106002005,24611,0,24,22,1,1,0,19,25,3,1
230010106002006,72846,0,2,2,0,0,0,1,2,0,0
230010106002007,22772,0,0,0,0,0,0,0,0,0,0
230010106002008,77581,0,10,9,0,0,0,8,10,1,1
230010106002009,31468,0,3,3,0,0,0,3,4,0,0
230010106002010,870120,11373,33,30,2,1,0,26,34,4,2
230010106002011,46848,0,12,11,1,0,0,10,12,1,1
230010106002012,10362,46148,6,6,0,0,0,5,6,1,0
230010106002013,881198,0,0,0,0,0,0,0,0,0,0
230010106002014,2482886,10237,1,1,0,0,0,1,1,0,0
230010106002015,8306,0,64,57,3,2,0,51,66,7,3
230010106002016,11923,0,0,0,0,0,0,0,0,0,0
230010106002017,28581,0,8,7,0,0,0,6,8,1,0
230010106002018,16712,0,1,1,0,0,0,1,1,0,0
230010106002019,3911,0,0,0,0,0,0,0,0,0,0
230010106002020,47835,0,6,5,0,0,0,4,6,1,0
230010106002021,24381,0,16,14,1,0,0,12,16,2,1
230010106002022,12015,0,0,0,0,0,0,0,0,0,0
230010106002023,1114083,9387,1,1,0,0,0,1,1,0,0
230010106002024,13220,0,24,22,1,1,0,19,25,3,1
230010106002025,11541,0,0,0,0,0,0,0,0,0,0
230010106002026,292658,0,0,0,0,0,0,0,0,0,0
230010106002027,360110,705,0,0,0,0,0,0,0,0,0
230010106002028,428607,0,0,0,0,0,0,0,0,0,0
230010107001000,3012659,2319,6,6,0,0,0,5,7,1,0
230010107001001,332525,0,2,2,0,0,0,2,2,0,0
230010107001002,395013,0,3,2,0,0,0,2,3,0,0
230010107001003,121767,0,0,0,0,0,0,0,0,0,0
230010107001004,443644,0,0,0,0,0,0,0,0,0,0
230010107001005,2227190,670,0,0,0,0,0,0,0,0,0
230010107001006,1085196,3907,6,6,0,0,0,5,7,1,0
230010107001007,834754,0,0,0,0,0,0,0,0,0,0
230010107001008,0,106048,3,3,0,0,0,2,3,0,0
